name,affiliation,homepage,scholarid
Neil Ghani,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/neil-ghani/projects,NOSCHOLARPAGE
Chuadhry Mujeeb Ahmed,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/chuadhry-mujeeb-ahmed/publications,l_qJD3IAAAAJ
Robert Atkey,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/bob-atkey/publications,0bo89OQAAAAJ
Leif Azzopardi,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/leif-azzopardi/publications,TmvrscMAAAAJ
Michael Cashmore,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/michael-cashmore/publications,AapWF-kAAAAJ
Gobinda G. Chowdhury,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/gobinda-chowdhury/publications,qmRMHx0AAAAJ
Feng Dong,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/feng-dong/publications,NOSCHOLARPAGE
Mark D. Dunlop,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/mark-dunlop/publications,dZ2_EsoAAAAJ
Anil Fernando,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/anil-fernando/publications,VUK1OO0AAAAJ
Forbes Gibb,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/forbes-gibb/publications,NOSCHOLARPAGE
Martin Halvey,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/martin-halvey/publications,ZXIo4JAAAAAJ
Julian Hedges,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/julian-hedges/publications,NOSCHOLARPAGE
Perla Innocenti,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/perla-innocenti/publications,PEBzYqUAAAAJ
Clemens Kupke,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/clemens-kupke/publications,NOSCHOLARPAGE
Marilyn Rose McGee-Lennon,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/marilyn-lennon/publications,_dZjfmEAAAAJ
Annemaree Lloyd,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/annemaree-lloyd/publications,_8YnEU0AAAAJ
Roma Maguire,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/roma-maguire/publications,NOSCHOLARPAGE
Lisa McCann,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/lisa-mccann/publications,NOSCHOLARPAGE
Wendy Moncur,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/wendy-moncur/publications,YlZFhnsAAAAJ
Yashar Moshfeghi,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/yashar-moshfeghi/publications,BaFcnWIAAAAJ
Shishir Nagaraja,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/shishir-nagaraja/publications,Z2g9YhAAAAAJ
Emma Nicol,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/emma-nicol/publications,0zyU7jMAAAAJ
Fredrik Nordvall Forsberg,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/fredrik-nordvall-forsberg/publications,-0ALlRsAAAAJ
Diane M. Rasmussen Pennington,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/diane-pennington/publications,ndW6HpAAAAAJ
Karen Renaud,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/karen-renaud/publications,u6VeU9UAAAAJ
Crawford Revie,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/crawford-revie/publications,5ErDDgQAAAAJ
Marc Roper,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/marc-roper/publications,nCKSiaQAAAAJ
Dmitri Roussinov,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/dmitri-roussinov/publications,TWzT5qcAAAAJ
Ian Ruthven,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/ian-ruthven/publications,BAJlvioAAAAJ
Sotirios Terzis,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/sotirios-terzis/publications,oFvJLXUAAAAJ
Daniel R. Thomas,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/daniel-thomas/publications,Tq1LRo2DuUIC
William Waites,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/william-waites/publications,8jBWCEoAAAAJ
George R. S. Weir,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/george-weir/publications,SBDcS-sAAAAJ
Glynn Winskel,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/glynn-winskel/publications,4G6EhwMAAAAJ
Jeff Yan,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/jeff-yan/publications,rYhiAEUAAAAJ
Harleen Rai,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/harleen-rai/publications,NOSCHOLARPAGE
Amin Sahebi,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/amin-sahebi/publications,OG1icbkAAAAJ
