name,color
James Collofello,#d3d3d3
Violet Syrotiuk,#d3d3d3
Charles Colbourn,#00bfff
Subbarao Kambhampati,#32CD32
Adam Doupé,#00bfff
Gail-Joon Ahn,#00bfff
Baoxin Li,#32CD32
Guoliang Xue,#00bfff
Huan Liu,#32CD32
Andréa Richa,#00bfff
Arunabha Sen,#00bfff
Aviral Shrivastava,#00bfff
Wei-Tek Tsai,#d3d3d3
K. Candan,#00bfff
Heni Amor,#ffc0cb
Rida Bazzi,#00bfff
Joohyung Lee,#32CD32
Carole-Jean Wu,#00bfff
Hanghang Tong,#32CD32
Jingrui He,#32CD32
Hasan Davulcu,#32CD32
Erin Walker,#ffc0cb
Yalin Wang,#32CD32
Ming Zhao,#32CD32
Chitta Baral,#32CD32
Paolo Papotti,#00bfff
Peter Wonka,#ffc0cb
Kurt VanLehn,#d3d3d3
Yezhou Yang,#32CD32
Mohamed Sarwat,#00bfff
Partha Dasgupta,#d3d3d3
Brian Nelson,#d3d3d3
Sandeep Gupta,#00bfff
Georgios Fainekos,#ffc0cb
