name,color
Dinusha Vatsalan,#d3d3d3
Peter Christen,#32CD32
Qing Wang,#00bfff
Uwe Zimmer,#ffc0cb
Richard Brent,#d3d3d3
Weifa Liang,#00bfff
Alistair Rendell,#00bfff
Eric McCreath,#d3d3d3
Stephen Gould,#32CD32
Marcus Hutter,#32CD32
Jochen Renz,#32CD32
Hongdong Li,#32CD32
Richard Hartley,#32CD32
Basura Fernando,#32CD32
Anoop Cherian,#ffc0cb
Jochen Trumpf,#32CD32
Yuchao Dai,#32CD32
Henry Gardner,#d3d3d3
Laurent Kneip,#ffc0cb
Fatih Porikli,#32CD32
Dingfu Zhou,#d3d3d3
Changbin Yu,#ffc0cb
Jonghyuk Kim,#ffc0cb
Parastoo Sadeghi,#32CD32
Salman Durrani,#d3d3d3
Rodney Kennedy,#32CD32
Neda Aboutorab,#d3d3d3
Xiangyun Zhou,#d3d3d3
Thushara Abhayapala,#d3d3d3
Robert Williamson,#d3d3d3
Lexing Xie,#32CD32
Armin Haller,#32CD32
Marian-Andrei Rizoiu,#32CD32
Dongwoo Kim,#32CD32
Brian Anderson,#00bfff
Junming Wei,#d3d3d3
Xiaolei Hou,#ffc0cb
Shihao Yan,#d3d3d3
Mark Reid,#d3d3d3
Chuong Nguyen,#d3d3d3
Shayne Flint,#d3d3d3
Ramesh Sankaranarayana,#d3d3d3
Michael Dennis,#d3d3d3
Hassan Hijazi,#32CD32
Sylvie Thiébaux,#32CD32
John Slaney,#32CD32
Henry Gardner,#ffc0cb
Ben Swift,#ffc0cb
Matthew James,#d3d3d3
Guodong Shi,#d3d3d3
Nan Yang,#32CD32
Eric McCreath,#d3d3d3
Wen Zhang,#d3d3d3
Prasanga Samarasinghe,#d3d3d3
Peter Strazdins,#d3d3d3
Xinbo Yang,#d3d3d3
John Lloyd,#d3d3d3
Kun Cai,#d3d3d3
Qing-Hua Qin,#d3d3d3
Enrico Scala,#32CD32
Patrik Haslum,#32CD32
Mark Reid,#32CD32
Robert Williamson,#32CD32
John Lloyd,#d3d3d3
Rajeev Goré,#00bfff
Jeremy Dawson,#d3d3d3
Dirk Pattinson,#32CD32
Ramesh Sankaranarayana,#d3d3d3
Tamás Gedeon,#ffc0cb
Robert Mahony,#ffc0cb
Uwe Zimmer,#ffc0cb
Bob Williamson,#32CD32
Ijaz Akhter,#32CD32
Klaus Weber,#d3d3d3
Brendan McKay,#d3d3d3
Stephen Blackburn,#00bfff
Antony Hosking,#00bfff
Robert McKay,#d3d3d3
Thomas White,#d3d3d3
Jie Cui,#d3d3d3
Yuerui Lu,#d3d3d3
Jeremy Dawson,#d3d3d3
John Richards,#d3d3d3
Hassan Hijazi,#d3d3d3
John Slaney,#d3d3d3
Daniel Walter,#32CD32
Viorela Ila,#ffc0cb
