name,color,coauthored
Yifan Zhang,#00bfff,0
Kartik Gopalan,#00bfff,1
Ping Yang,#00bfff,1
Kenneth Chiu,#00bfff,1
Madhusudhan Govindaraju,#00bfff,1
Michael Lewis,#00bfff,1
Yu Liu,#00bfff,1
Yan Wang,#00bfff,0
Yao Liu,#00bfff,0
Patrick Madden,#d3d3d3,1
Dmitry Ponomarev,#00bfff,1
Arti Ramesh,#32CD32,0
Zhongfei Zhang,#32CD32,0
Kanad Ghose,#00bfff,1
Mo Sha,#00bfff,0
Guanhua Yan,#00bfff,0
Weiyi Meng,#00bfff,1
Lei Yu,#32CD32,1
Timothy Miller,#00bfff,0
Weiying Dai,#d3d3d3,0
Lijun Yin,#32CD32,0
Aravind Prakash,#d3d3d3,0
Kyoung-Don Kang,#00bfff,0
Anand Seetharam,#00bfff,0
