name,color,coauthored
Azer Bestavros,#00bfff,1
Assaf Kfoury,#d3d3d3,1
John Byers,#00bfff,1
Ibrahim Matta,#00bfff,1
Evimaria Terzi,#32CD32,1
Jonathan Appavoo,#00bfff,1
George Kollios,#00bfff,1
Mark Crovella,#00bfff,1
Ran Canetti,#ffff00,1
Leonid Reyzin,#ffff00,1
Lorenzo Orecchia,#ffff00,0
Margrit Betke,#32CD32,1
Stan Sclaroff,#32CD32,1
Charalampos Tsourakakis,#32CD32,0
Alina Ene,#ffff00,0
Péter Gács,#d3d3d3,0
Leonid Levin,#d3d3d3,0
Sharon Goldberg,#00bfff,1
Manuel Egele,#00bfff,0
Steven Homer,#d3d3d3,0
Kate Saenko,#32CD32,0
Richard West,#00bfff,0
Hongwei Xi,#d3d3d3,0
