name,abbrv,color,coauthored
Timothy Hickey,T. Hickey,#d3d3d3,0
Harry Mairson,H. Mairson,#d3d3d3,0
James Storer,J. Storer,#d3d3d3,1
Antonella Di Lillo,A. Di Lillo,#d3d3d3,1
Sophia Malamud,S. Malamud,#d3d3d3,1
Nianwen Xue,N. Xue,#32CD32,1
Pengyu Hong,P. Hong,#ffc0cb,1
Liuba Shrira,L. Shrira,#00bfff,0
Jordan Pollack,J. Pollack,#d3d3d3,0
Richard Alterman,R. Alterman,#d3d3d3,0
Mitch Cherniack,M. Cherniack,#00bfff,1
Olga Papaemmanouil,O. Papaemmanouil,#00bfff,1
James Pustejovsky,J. Pustejovsky,#32CD32,0
