name,color
Eric Mercer,#00bfff
Kent Seamons,#00bfff
Michael Goodrich,#ffc0cb
Yiu-Kai Ng,#32CD32
Daniel Zappala,#00bfff
Sean Warnick,#d3d3d3
Parris Egbert,#32CD32
Seth Holladay,#d3d3d3
Bryan Morse,#32CD32
Dan Ventura,#32CD32
Christophe Giraud-Carrier,#d3d3d3
Ryan Farrell,#32CD32
Mark Clement,#ffc0cb
Quinn Snell,#ffc0cb
Kevin Seppi,#32CD32
Jacob Crandall,#32CD32
Eric Ringger,#32CD32
Michael Jones,#ffc0cb
Tony Martinez,#32CD32
David Wingate,#32CD32
Scott Woodfield,#d3d3d3
Robert Burton,#ffc0cb
William Barrett,#d3d3d3
Thomas Sederberg,#ffc0cb
