name,color,coauthored
Shriram Krishnamurthi,#32CD32,1
Rodrigo Fonseca,#00bfff,1
Steven Reiss,#00bfff,1
Ugur Çetintemel,#00bfff,1
Stanley Zdonik,#00bfff,1
Tim Kraska,#00bfff,1
Eli Upfal,#32CD32,1
Anna Lysyanskaya,#ffff00,1
Roberto Tamassia,#00bfff,1
John Savage,#00bfff,0
Franco Preparata,#d3d3d3,1
Maurice Herlihy,#ffff00,0
Philip Klein,#ffff00,0
George Konidaris,#32CD32,0
Stefanie Tellex,#ffc0cb,1
Michael Littman,#32CD32,1
Seny Kamara,#00bfff,0
David Laidlaw,#ffc0cb,1
John Hughes,#ffc0cb,1
Benjamin Raphael,#ffc0cb,1
Paul Valiant,#ffff00,0
Vasileios Kemerlis,#00bfff,0
Amy Greenwald,#32CD32,1
Eugene Charniak,#32CD32,0
Pedro Felzenszwalb,#32CD32,0
Jeff Huang,#32CD32,0
Sorin Istrail,#ffc0cb,0
Andries van Dam,#d3d3d3,0
