name,color
Sergei Artëmov,#d3d3d3
Subash Shankar,#d3d3d3
Changhe Yuan,#32CD32
Peter Braß,#ffc0cb
Jizhong Xiao,#ffc0cb
Irina Gladkova,#d3d3d3
Rohit Parikh,#d3d3d3
Candido Cabo,#d3d3d3
Chen Chao,#d3d3d3
Rivka Levitan,#32CD32
Soon Chun,#d3d3d3
Louis Petingi,#d3d3d3
Nelly Fazio,#ffff00
William Skeith,#ffff00
Rosario Gennaro,#00bfff
Akira Kawaguchi,#d3d3d3
M. Uyar,#d3d3d3
Gabor Herman,#d3d3d3
T. Kong,#d3d3d3
Zhigang Zhu,#ffc0cb
Theodore Raphan,#ffc0cb
Devorah Kletenik,#ffff00
Delaram Kahrobaei,#d3d3d3
Bilal Khan,#d3d3d3
Ioannis Stamos,#32CD32
George Wolberg,#32CD32
Olympia Hadjiliadis,#d3d3d3
Bon K. Sy ,#d3d3d3
Yumei Huo,#d3d3d3
Spiridon Bakiras,#00bfff
Linda Friedman,#d3d3d3
Feng Gu,#ffc0cb
Leonid Gurvits,#ffff00
Michael Mandel,#00bfff
Amotz Bar-Noy,#00bfff
Saad Mneimneh,#d3d3d3
Theodore Brown,#00bfff
Sarah Zelikovitz,#d3d3d3
Dina Sokol,#ffc0cb
Xiangdong Li,#d3d3d3
Xiaowen Zhang,#d3d3d3
Zhanyang Zhang,#d3d3d3
Sven Dietrich,#d3d3d3
Louis D'Alotto,#d3d3d3
Felisa Vázquez-Abad,#d3d3d3
Kaliappa Ravindran,#d3d3d3
Katherine St. John,#d3d3d3
Ping Ji,#ffc0cb
Neng-Fa Zhou,#d3d3d3
Douglas Troeger,#d3d3d3
Jianting Zhang,#d3d3d3
Lev Manovich,#d3d3d3
Robert Haralick,#d3d3d3
Izidor Gertner,#d3d3d3
Scott Dexter,#d3d3d3
Victor Pan,#d3d3d3
Brian Murphy,#32CD32
Abbe Mowshowitz,#d3d3d3
Russell Miller,#d3d3d3
Abdullah Tansel,#d3d3d3
Danny Kopec,#d3d3d3
Shuqun Zhang,#d3d3d3
Shweta Jain,#00bfff
Jie Wei,#d3d3d3
Joel Hamkins,#d3d3d3
Raquel Benbunan-Fich,#d3d3d3
Paula Whitlock,#d3d3d3
Myung Lee,#d3d3d3
Yedidyah Langsam,#d3d3d3
Michael Kress,#32CD32
Susan Imberman,#d3d3d3
Lei Xie,#00bfff
Matthew Johnson,#d3d3d3
Ying-li Tian,#32CD32
Danyang Zhang,#d3d3d3
William Sakas,#d3d3d3
Michael Grossberg,#d3d3d3
