name,color
David Mould,#d3d3d3
Anil Somayaji,#00bfff
Robert Biddle,#00bfff
Sonia Chiasson,#00bfff
Paul van Oorschot,#00bfff
Tony White,#32CD32
B. Oommen,#00bfff
Doron Nussbaum,#d3d3d3
Evangelos Kranakis,#d3d3d3
Michel Barbeau,#d3d3d3
Prosenjit Bose,#ffff00
Pat Morin,#ffff00
Anil Maheshwari,#ffff00
Michiel Smid,#d3d3d3
Oliver van Kaick,#d3d3d3
Frank Dehne,#00bfff
Jean-Pierre Corriveau,#d3d3d3
Yuhong Guo,#32CD32
Nicola Santoro,#d3d3d3
Jörg-Rüdiger Sack,#d3d3d3
Mark Lanthier,#d3d3d3
Mengchi Liu,#d3d3d3
Leopoldo Bertossi,#d3d3d3
Douglas Howe,#d3d3d3
Dwight Deugo,#d3d3d3
