name,color,coauthored
Illah Nourbakhsh,#32CD32,1
Jessica Hodgins,#ffc0cb,1
Jodi Forlizzi,#ffc0cb,1
Mahadev Satyanarayanan,#00bfff,1
James Herbsleb,#00bfff,1
David O'Hallaron,#00bfff,1
David Garlan,#00bfff,1
Jason Hong,#ffc0cb,1
Daniel Siewiorek,#ffc0cb,1
David Andersen,#00bfff,1
Mary Shaw,#00bfff,1
Hartmut Geyer,#ffc0cb,1
Yaser Sheikh,#32CD32,1
Takeo Kanade,#32CD32,1
Srinivasa Narasimhan,#32CD32,1
Martial Hebert,#32CD32,1
J. Bagnell,#ffc0cb,1
Louis-Philippe Morency,#32CD32,1
Eric Xing,#32CD32,1
Ruslan Salakhutdinov,#32CD32,1
Chris Dyer,#32CD32,1
William Cohen,#32CD32,1
Barnabás Póczos,#32CD32,1
Christopher Langmead,#ffc0cb,1
Seyoung Kim,#32CD32,1
Garth Gibson,#00bfff,1
Phillip Gibbons,#00bfff,1
Carolyn Rosé,#32CD32,1
Christos Faloutsos,#32CD32,1
Jaime Carbonell,#32CD32,1
Tom Mitchell,#32CD32,1
Nancy Pollard,#ffc0cb,1
Aniket Kittur,#ffc0cb,1
Edmund Clarke,#ffff00,1
André Platzer,#ffff00,1
Justine Cassell,#ffc0cb,1
Alan Black,#32CD32,1
Amy Ogan,#ffc0cb,1
Stephen Brookes,#00bfff,0
Brad Myers,#ffc0cb,1
Geoffrey Gordon,#32CD32,1
John Zimmerman,#ffc0cb,1
Vincent Aleven,#ffc0cb,1
Jonathan Aldrich,#00bfff,1
Kenneth Koedinger,#ffc0cb,1
Bhiksha Ramakrishnan,#d3d3d3,0
Roger Dannenberg,#d3d3d3,1
Anind Dey,#ffc0cb,1
Norman Sadeh,#ffc0cb,1
Jennifer Mankoff,#ffc0cb,1
Sara Kiesler,#ffc0cb,1
Graham Neubig,#32CD32,1
Eric Nyberg,#32CD32,1
Kemal Oflazer,#32CD32,1
Carl Kingsford,#ffc0cb,0
Gary Miller,#ffff00,1
Guy Blelloch,#00bfff,1
Anupam Gupta,#ffff00,1
Umut Acar,#00bfff,1
Jessica Hammer,#d3d3d3,1
Geoff Kaufman,#ffc0cb,1
Todd Mowry,#00bfff,1
Ronald Rosenfeld,#ffc0cb,1
Peter Steenkiste,#00bfff,1
Venkatesan Guruswami,#ffff00,1
Ziv Bar-Joseph,#ffc0cb,1
Alonzo Kelly,#ffc0cb,1
William Whittaker,#ffc0cb,1
Siddhartha Srinivasa,#ffc0cb,1
Matthew Mason,#ffc0cb,1
Christopher Atkeson,#ffc0cb,1
Emma Brunskill,#32CD32,1
John Stamper,#d3d3d3,1
Chinmay Kulkarni,#32CD32,1
Jeffrey Bigham,#ffc0cb,1
Maria-Florina Balcan,#ffff00,1
Avrim Blum,#ffff00,1
Tuomas Sandholm,#32CD32,1
Ariel Procaccia,#32CD32,1
Aarti Singh,#32CD32,1
Anupam Datta,#00bfff,1
Seth Goldstein,#ffc0cb,1
Michael Erdmann,#ffc0cb,1
Howie Choset,#ffc0cb,1
Bernhard Haeupler,#ffff00,1
Manuela Veloso,#ffc0cb,1
Srinivasan Seshan,#00bfff,1
Randal Bryant,#00bfff,1
Vipul Goyal,#ffff00,0
Lorrie Cranor,#ffc0cb,1
Robert Harper,#00bfff,1
Robert Kraut,#ffc0cb,1
Lujo Bauer,#ffc0cb,1
Laura Dabbish,#ffc0cb,1
Yuvraj Agarwal,#00bfff,1
James Morris,#d3d3d3,1
Jean Yang,#00bfff,0
Chris Harrison,#ffc0cb,1
Jack Mostow,#d3d3d3,0
Alexander Waibel,#32CD32,1
Scott Hudson,#ffc0cb,1
Stelian Coros,#ffc0cb,1
Yiming Yang,#32CD32,1
Kathleen Carley,#ffc0cb,1
Christian Kästner,#00bfff,1
Tai Lee,#32CD32,0
Abhinav Gupta,#32CD32,1
J. Kolter,#32CD32,0
Frank Pfenning,#ffc0cb,1
Travis Breaux,#00bfff,1
Douglas Sicker,#00bfff,0
James Callan,#32CD32,1
Pradeep Ravikumar,#32CD32,1
Brandon Lucia,#00bfff,0
Jan Hoffmann,#00bfff,0
Ryan O'Donnell,#ffff00,1
Andrew Moore,#32CD32,0
Deva Ramanan,#32CD32,1
Kayvon Fatahalian,#ffc0cb,1
Andrew Pavlo,#00bfff,1
William Scherlis,#d3d3d3,1
Claire Le Goues,#00bfff,1
Karl Crary,#00bfff,1
Bhiksha Raj,#32CD32,1
Dana Scott,#d3d3d3,0
Christopher Dyer,#32CD32,0
Gary Fedder,#ffc0cb,1
Mor Harchol-Balter,#00bfff,0
Yong-Lae Park,#ffc0cb,1
Keenan Crane,#ffc0cb,0
Matt Fredrikson,#00bfff,0
Farnam Jahanian,#00bfff,0
Taylor Berg-Kirkpatrick,#32CD32,0
Daniel Sleator,#ffff00,0
Jian Ma,#ffc0cb,0
Raj Reddy,#d3d3d3,0
Subra Suresh,#d3d3d3,0
