name,color,coauthored
Éva Tardos,#ffff00,1
Karthik Sridharan,#32CD32,1
Jon Kleinberg,#32CD32,1
Robert Kleinberg,#ffff00,1
Ramin Zabih,#32CD32,1
Ari Juels,#00bfff,1
Thomas Ristenpart,#ffff00,1
Elaine Shi,#00bfff,1
Emin Sirer,#00bfff,1
Donald Greenberg,#ffc0cb,1
Kavita Bala,#ffc0cb,1
Steve Marschner,#ffc0cb,1
Vitaly Shmatikov,#00bfff,1
Ronald Brachman,#d3d3d3,0
Thorsten Joachims,#32CD32,1
Lillian Lee,#32CD32,1
Rafael Pass,#ffff00,1
Joseph Halpern,#32CD32,1
Fred Schneider,#00bfff,1
Nate Foster,#00bfff,1
John Hopcroft,#32CD32,1
Kenneth Birman,#00bfff,1
Claire Cardie,#32CD32,1
Charles Van Loan,#d3d3d3,0
Haym Hirsh,#32CD32,0
Rachit Agarwal,#00bfff,0
Ross Knepper,#ffc0cb,1
Ashutosh Saxena,#ffc0cb,1
Mor Naaman,#ffc0cb,1
Deborah Estrin,#00bfff,1
Hakim Weatherspoon,#00bfff,1
Andrew Myers,#00bfff,1
Daniel Huttenlocher,#32CD32,1
Cristian Danescu-Niculescu-Mizil,#32CD32,1
David Bindel,#32CD32,1
Kilian Weinberger,#32CD32,1
Lorenzo Alvisi,#00bfff,1
Serge Belongie,#32CD32,1
Bart Selman,#32CD32,1
Noah Snavely,#32CD32,1
J. Morrisett,#00bfff,1
Dexter Kozen,#ffff00,1
Erik Andersen,#ffc0cb,0
David Mimno,#32CD32,1
Anil Damle,#d3d3d3,0
Immanuel Trummer,#00bfff,0
Amir Avestimehr,#00bfff,0
Robert Constable,#ffff00,1
Ross Tate,#00bfff,0
Adrian Sampson,#00bfff,0
Carla Gomes,#32CD32,1
David Steurer,#ffff00,0
Christina Delimitrou,#00bfff,0
Yoav Artzi,#32CD32,0
