name,color
Erik Frøkjær,#ffc0cb
Kasper Hornbæk,#ffc0cb
Søren Olsen,#d3d3d3
Marleen de Bruijne,#32CD32
Aasa Feragen,#32CD32
Lauge Sørensen,#d3d3d3
Jon Sporring,#d3d3d3
François Lauze,#32CD32
Mads Nielsen,#32CD32
Martin Lillholm,#d3d3d3
Matthew Liptrot,#d3d3d3
Pernille Bjørn,#ffc0cb
Mikkel Abrahamsen,#d3d3d3
Mikkel Thorup,#ffff00
Stephen Alstrup,#ffff00
Tijs Slaats,#d3d3d3
Yvonne Jansen,#ffc0cb
Mikkel Jakobsen,#ffc0cb
Sebastian Boring,#ffc0cb
Tariq Andersen,#d3d3d3
Fritz Henglein,#00bfff
Cosmin Oancea,#00bfff
Jakob Simonsen,#ffc0cb
Ken Larsen,#d3d3d3
Andrzej Filinski,#00bfff
Torben Mogensen,#d3d3d3
Robert Glück,#d3d3d3
Martin Elsman,#d3d3d3
Kim Pedersen,#32CD32
Sune Darkner,#32CD32
Christian Igel,#32CD32
Sami Brandt,#32CD32
Finn Kensing,#d3d3d3
Tariq Andersen,#d3d3d3
Jorgen Bansler,#d3d3d3
Kenny Erleben,#ffc0cb
Christina Lioma,#32CD32
Christian Wulff-Nilsen,#ffff00
Pawel Winter,#d3d3d3
Yevgeny Seldin,#32CD32
Klaus Hansen,#d3d3d3
Jean-Yves Moyen,#d3d3d3
Katarzyna Wac,#ffc0cb
Naja Møller,#d3d3d3
Jyrki Katajainen,#d3d3d3
