name,abbrv,color,coauthored
Ko Nishino,K. Nishino,#32CD32,1
Ali Shokoufandeh,A. Shokoufandeh,#d3d3d3,1
Christopher Geib,C. Geib,#32CD32,0
William Regli,W. Regli,#32CD32,1
Spiros Mancoridis,S. Mancoridis,#d3d3d3,1
Erin Solovey,E. Solovey,#ffc0cb,0
Jeffrey Popyack,J. Popyack,#d3d3d3,0
Rachel Greenstadt,R. Greenstadt,#00bfff,0
Dario Salvucci,D. Salvucci,#ffc0cb,1
Julia Stoyanovich,J. Stoyanovich,#00bfff,0
M. Blake,M. Blake,#d3d3d3,0
Santiago Ontañón,S. Ontañón,#32CD32,1
Jeremy Johnson,J. Johnson,#d3d3d3,0
Yuanfang Cai,Y. Cai,#00bfff,0
Vasilis Gkatzelis,V. Gkatzelis,#ffff00,0
Geoffrey Mainland,G. Mainland,#00bfff,0
Colin Gordon,C. Gordon,#00bfff,0
David Breen,D. Breen,#d3d3d3,0
