name,color,coauthored
Bruce Maggs,#00bfff,1
Theophilus Benson,#00bfff,1
Sudeepa Roy,#00bfff,1
Debmalya Panigrahi,#ffff00,1
Shivnath Babu,#00bfff,1
Jeffrey Chase,#00bfff,1
Kamesh Munagala,#ffff00,1
A. Calderbank,#00bfff,0
Landon Cox,#00bfff,1
Ashwin Machanavajjhala,#00bfff,1
Bruce Donald,#ffc0cb,0
Jun Yang,#00bfff,1
Pankaj Agarwal,#ffff00,1
Alexander Hartemink,#ffc0cb,0
Alvin Lebeck,#00bfff,0
Carlo Tomasi,#32CD32,1
Ronald Parr,#32CD32,1
Rong Ge,#32CD32,0
Vincent Conitzer,#32CD32,1
Xiaowei Yang,#00bfff,1
Xiaobai Sun,#00bfff,0
John Reif,#ffc0cb,0
