name,color,coauthored
Moira Norrie,#ffc0cb,0
David Basin,#00bfff,1
Adrian Perrig,#00bfff,1
Srdjan Capkun,#00bfff,1
Joachim Buhmann,#32CD32,1
Donald Kossmann,#00bfff,1
Gustavo Alonso,#00bfff,1
Andreas Krause,#32CD32,1
Olga Sorkine-Hornung,#ffc0cb,1
Markus Gross,#ffc0cb,1
Timothy Roscoe,#00bfff,1
Mohsen Ghaffari,#ffff00,0
Thomas Gross,#00bfff,1
Markus Püschel,#00bfff,1
Onur Mutlu,#00bfff,1
Marc Pollefeys,#32CD32,1
Peter Widmayer,#32CD32,1
Ueli Maurer,#ffff00,1
Otmar Hilliges,#ffc0cb,1
Martin Vechev,#00bfff,1
Peter Müller,#00bfff,1
Thomas Hofmann,#32CD32,0
Juraj Hromkovic,#d3d3d3,1
Peter Arbenz,#d3d3d3,0
Gunnar Rätsch,#ffc0cb,0
Torsten Hoefler,#00bfff,1
Thomas Holenstein,#ffff00,1
Bernd Gärtner,#32CD32,1
Emo Welzl,#00bfff,1
Angelika Steger,#ffff00,0
Ankit Singla,#00bfff,0
Ce Zhang,#00bfff,0
