name,color,coauthored
Duong Phan,#ffff00,1
David Pointcheval,#ffff00,1
Michel Abdalla,#ffff00,1
Ana Busic,#d3d3d3,1
Anne Bouillard,#00bfff,1
Cezara Dragoi,#ffff00,0
Zhen Zhang,#ffc0cb,0
Jean Ponce,#32CD32,1
Josef Sivic,#32CD32,1
Francis Bach,#32CD32,1
Ivan Laptev,#32CD32,1
Alexandre d'Aspremont,#32CD32,1
Stéphane Mallat,#32CD32,1
David Naccache,#ffff00,1
Jacques Stern,#ffff00,1
Jean Vuillemin,#d3d3d3,1
Georg Fuchsbauer,#ffff00,1
Damien Vergnaud,#00bfff,1
Céline Chevalier,#ffff00,1
Marc Pouzet,#00bfff,1
Timothy Bourke,#00bfff,1
Albert Cohen,#00bfff,1
Gilles Wainrib,#32CD32,0
Vincent Danos,#ffff00,1
Jérôme Feret,#ffff00,1
Hoeteck Wee,#ffff00,1
Francesco Nardelli,#00bfff,1
Xavier Rival,#00bfff,1
Phong Nguyen,#32CD32,0
Zhentao Li,#32CD32,1
Claire Mathieu,#ffff00,1
François Baccelli,#00bfff,1
Bartlomiej Blaszczyszyn,#00bfff,1
Marc Lelarge,#00bfff,0
Francois Berenger,#ffc0cb,0
Éric de Verdière,#ffff00,1
