name,color
Duong Hieu Phan,#ffff00
Michel Abdalla,#ffff00
David Pointcheval,#ffff00
Ana Busic,#d3d3d3
Anne Bouillard,#00bfff
Jean Ponce,#32CD32
Francis R. Bach,#32CD32
Ivan Laptev,#32CD32
Josef Sivic,#32CD32
Alexandre d'Aspremont,#32CD32
Stéphane Mallat,#32CD32
David Naccache,#ffff00
Céline Chevalier,#ffff00
Jacques Stern,#ffff00
Jean Vuillemin,#d3d3d3
Georg Fuchsbauer,#ffff00
Damien Vergnaud,#00bfff
Marc Pouzet,#00bfff
Timothy Bourke,#00bfff
Albert Cohen 0001,#00bfff
Vincent Danos,#ffff00
Jérôme Feret,#ffff00
Hoeteck Wee,#ffff00
Francesco Zappa Nardelli,#00bfff
Gilles Wainrib,#32CD32
Xavier Rival,#00bfff
Phong Nguyen,#32CD32
Zhentao Li,#32CD32
Claire Mathieu,#ffff00
François Baccelli,#00bfff
Bartlomiej Blaszczyszyn,#00bfff
Francois Berenger,#ffc0cb
Éric Colin de Verdière,#ffff00
