name,color
Joyce Ho,#32CD32
James Lu,#d3d3d3
Li Xiong,#00bfff
Eugene Agichtein,#32CD32
Jinho Choi,#32CD32
Michele Benzi,#32CD32
Alessandro Veneziani,#d3d3d3
Vaidy Sunderam,#00bfff
Dwight Duffus,#d3d3d3
Vojtech Rödl,#ffff00
Michelangelo Grigni,#d3d3d3
Andrew Post,#d3d3d3
Lars Ruthotto,#d3d3d3
Avani Wildani,#d3d3d3
Gari Clifford,#d3d3d3
Shamim Nemati,#d3d3d3
Lee Cooper,#ffc0cb
Hao Huang,#00bfff
James Nagy,#d3d3d3
Davide Fossati,#d3d3d3
Ronald Gould,#d3d3d3
Ymir Vigfusson,#00bfff
Zhaohui Qin,#ffc0cb
