name,color
Dana Richards,#d3d3d3
Sean Luke,#32CD32
Zoran Duric,#32CD32
Houman Homayoun,#00bfff
Jessica Lin,#d3d3d3
Alexander Brodsky,#00bfff
Daniel Barbará,#32CD32
Huzefa Rangwala,#32CD32
Kenneth De Jong,#d3d3d3
Gheorghe Tecuci,#d3d3d3
Daniel Menascé,#d3d3d3
Hassan Gomaa,#00bfff
Larry Kerschberg,#d3d3d3
Xinyuan Wang,#00bfff
Songqing Chen,#00bfff
Duminda Wijesekera,#00bfff
Jyh-Ming Lien,#ffc0cb
Yotam Gingold,#ffc0cb
Jana Kosecka,#ffc0cb
Elizabeth White,#d3d3d3
Angelos Stavrou,#00bfff
Fei Li,#00bfff
Richard Carver,#d3d3d3
Qi Wei,#d3d3d3
Robert Simon,#d3d3d3
Sanjeev Setia,#00bfff
Hakan Aydin,#00bfff
Song Kim,#00bfff
A. Offutt,#00bfff
Paul Ammann,#00bfff
Amihai Motro,#d3d3d3
Carlotta Domeniconi,#32CD32
Amarda Shehu,#ffc0cb
Foteini Baldimtsi,#00bfff
Harry Wechsler,#32CD32
Jim Chen,#d3d3d3
J. Pullen,#d3d3d3
Jan Allbeck,#d3d3d3
S. Gordon,#ffff00
Parth Pathak,#00bfff
Kai Zeng,#00bfff
Jonathan Bell,#00bfff
Arun Sood,#d3d3d3
Thomas LaToza,#00bfff
