name,color,coauthored
Hyesoon Kim,#00bfff,1
Richard Vuduc,#00bfff,1
Taesoo Kim,#00bfff,1
Santosh Pande,#00bfff,1
Ada Gavrilovska,#00bfff,1
Leo Mark,#d3d3d3,1
Edward Omiecinski,#d3d3d3,1
Ling Liu,#00bfff,1
Srinivas Aluru,#00bfff,1
David Bader,#00bfff,1
Edmond Chow,#00bfff,1
Richard Peng,#ffff00,0
Mostafa Ammar,#00bfff,1
Ellen Zegura,#00bfff,1
Richard Lipton,#00bfff,1
Constantinos Dovrolis,#00bfff,1
Umakishore Ramachandran,#00bfff,1
Mustaque Ahamad,#00bfff,1
Richard Fujimoto,#d3d3d3,1
Amy Bruckman,#ffc0cb,1
Annie Antón,#d3d3d3,1
Betsy DiSalvo,#ffc0cb,1
Mark Guzdial,#d3d3d3,1
Haesun Park,#32CD32,1
Eric Gilbert,#ffc0cb,1
Milena Mihail,#ffff00,1
Duen Chau,#ffc0cb,1
Irfan Essa,#32CD32,1
James Rehg,#32CD32,1
Gregory Abowd,#ffc0cb,1
Aaron Bobick,#ffc0cb,1
Le Song,#32CD32,1
Frank Dellaert,#ffc0cb,1
Tucker Balch,#ffc0cb,1
Greg Turk,#ffc0cb,1
Andrea Thomaz,#ffc0cb,1
Charles Isbell,#32CD32,1
John Stasko,#ffc0cb,1
Jacob Eisenstein,#32CD32,1
Byron Boots,#32CD32,1
C. Liu,#ffc0cb,1
Keith Edwards,#d3d3d3,0
Concettina Guerra,#d3d3d3,1
James Hays,#32CD32,1
Calton Pu,#00bfff,1
Shamkant Navathe,#00bfff,1
Wenke Lee,#00bfff,1
Alexandra Boldyreva,#00bfff,1
Mark Riedl,#32CD32,1
Jimeng Sun,#32CD32,1
Jack Poulson,#d3d3d3,0
Elizabeth Mynatt,#ffc0cb,1
Thad Starner,#ffc0cb,1
Jun Xu,#32CD32,1
Prasad Tetali,#ffff00,1
Melody Jackson,#ffc0cb,1
Blair MacIntyre,#ffc0cb,1
Lance Fortnow,#00bfff,1
Hongyuan Zha,#32CD32,1
Bistra Dilkina,#32CD32,1
Lauren Wilcox,#ffc0cb,0
Alessandro Orso,#00bfff,1
Milos Prvulovic,#00bfff,1
Seymour Goodman,#d3d3d3,0
Jarek Rossignac,#ffc0cb,0
Bruce Walker,#ffc0cb,1
Thomas Conte,#00bfff,0
Vijay Vazirani,#ffff00,1
Eric Vigoda,#ffff00,1
Dana Randall,#ffff00,1
James Foley,#ffc0cb,1
Munmun De Choudhury,#ffc0cb,1
Rebecca Grinter,#ffc0cb,1
Nancy Nersessian,#ffc0cb,1
Santosh Vempala,#ffff00,1
Ronald Arkin,#ffc0cb,1
Sonia Chernova,#ffc0cb,1
Rahul Basole,#ffc0cb,1
Alexander Gray,#32CD32,1
Ellen Yi-Luen,#ffc0cb,1
Charles Eastman,#d3d3d3,1
Michael Best,#ffc0cb,0
H. Venkateswaran,#d3d3d3,0
William Harris,#00bfff,0
Hadi Esmaeilzadeh,#00bfff,0
Alex Endert,#ffc0cb,1
Henrik Christensen,#ffc0cb,1
Devi Parikh,#32CD32,0
Janet Kolodner,#d3d3d3,0
Colin Potts,#d3d3d3,0
