name,color,coauthored
Shai Shalev-Shwartz,#32CD32,1
Nathan Linial,#ffc0cb,1
Amnon Shashua,#32CD32,1
Gil Segev,#ffff00,1
Michael Schapira,#00bfff,1
Tommy Kaplan,#ffc0cb,1
Nir Friedman,#ffc0cb,1
Michael Ben-Or,#ffff00,1
Dorit Aharonov,#ffff00,1
Danny Dolev,#00bfff,1
Omri Abend,#32CD32,1
Ari Rappoport,#32CD32,1
Yair Bartal,#ffff00,0
Jeffrey Rosenschein,#32CD32,1
Aviv Zohar,#32CD32,1
Ami Wiesel,#d3d3d3,0
Orna Kupferman,#ffff00,0
Noam Nisan,#ffff00,1
Sara Cohen,#00bfff,1
Dror Feitelson,#00bfff,1
David Hay,#00bfff,1
Yair Weiss,#32CD32,1
Dani Lischinski,#ffc0cb,1
Shmuel Peleg,#32CD32,1
Oded Schwartz,#00bfff,0
Naftali Tishby,#32CD32,1
Raanan Fattal,#ffc0cb,1
Michael Werman,#32CD32,1
Amit Zoran,#ffc0cb,0
Guy Kindler,#ffff00,1
Yuval Kochman,#d3d3d3,0
Dafna Shahaf,#32CD32,0
Matan Gavish,#32CD32,0
Daphna Weinshall,#32CD32,1
Leo Joskowicz,#d3d3d3,1
Yuval Rabani,#ffff00,0
Katrina Ligett,#ffff00,0
Alex Samorodnitsky,#ffff00,0
Yehoshua Sagiv,#00bfff,1
Dina Schneidman-Duhovny,#ffc0cb,0
