name,abbrv,color,coauthored
Caroline Uhler,C. Uhler,#d3d3d3,0
Vladimir Kolmogorov,V. Kolmogorov,#32CD32,1
Christoph Lampert,C. Lampert,#32CD32,1
Krzysztof Pietrzak,K. Pietrzak,#ffff00,1
Carl-Philipp Heisenberg,C. Heisenberg,#d3d3d3,1
Herbert Edelsbrunner,H. Edelsbrunner,#ffff00,1
Gasper Tkacik,G. Tkacik,#32CD32,0
Julian Fischer,J. Fischer,#d3d3d3,0
Calin Guet,C. Guet,#ffff00,1
Thomas Henzinger,T. Henzinger,#ffff00,1
Dan Alistarh,D. Alistarh,#ffff00,0
Nick Barton,N. Barton,#d3d3d3,0
Christopher Wojtan,C. Wojtan,#ffc0cb,0
Bernd Bickel,B. Bickel,#ffc0cb,0
Krishnendu Chatterjee,K. Chatterjee,#ffff00,1
Jan Maas,J. Maas,#d3d3d3,0
Robert Seiringer,R. Seiringer,#d3d3d3,0
Martin Loose,M. Loose,#d3d3d3,0
Peter Jonas,P. Jonas,#d3d3d3,0
