name,color,coauthored
John Darlington,#d3d3d3,0
Stefan Leutenegger,#ffc0cb,1
Andrew Davison,#ffc0cb,1
Ben Glocker,#32CD32,1
Robert Kowalski,#d3d3d3,0
Cristian Cadar,#00bfff,1
Paul Kelly,#ffc0cb,1
Peter Pietzuch,#00bfff,1
Francesca Toni,#32CD32,1
Alastair Donaldson,#00bfff,1
Susan Eisenbach,#d3d3d3,1
Nobuko Yoshida,#00bfff,1
Sophia Drossopoulou,#d3d3d3,1
Wayne Luk,#ffc0cb,1
Panos Parpas,#d3d3d3,1
Berç Rustem,#d3d3d3,1
Stefanos Zafeiriou,#32CD32,1
Giuliano Casale,#00bfff,1
Daniel Rueckert,#32CD32,1
Peter Harrison,#00bfff,1
Ruth Misener,#d3d3d3,1
Marc Deisenroth,#ffc0cb,1
Naranker Dulay,#d3d3d3,1
Emil Lupu,#d3d3d3,1
Morris Sloman,#d3d3d3,1
Alessandra Russo,#00bfff,1
Ian Hodkinson,#d3d3d3,0
Su-Lin Lee,#ffc0cb,1
Guang-Zhong Yang,#ffc0cb,1
Kin Leung,#00bfff,1
Julie McCann,#00bfff,1
Peter McBrien,#d3d3d3,0
Tony Field,#d3d3d3,1
William Knottenbelt,#d3d3d3,1
Oskar Mencer,#d3d3d3,1
Krysia Broda,#d3d3d3,1
Keith Clark,#32CD32,1
Fariba Sadri,#d3d3d3,1
Yike Guo,#ffc0cb,1
Bernhard Kainz,#ffc0cb,1
Murray Shanahan,#d3d3d3,1
Philippa Gardner,#00bfff,1
Cristiano Calcagno,#00bfff,1
Sergio Maffeis,#00bfff,1
Stephen Muggleton,#32CD32,1
Alessio Lomuscio,#32CD32,1
Marek Sergot,#ffc0cb,1
Björn Schuller,#32CD32,1
Abhijeet Ghosh,#ffc0cb,1
Maja Pantic,#32CD32,1
Michael Huth,#d3d3d3,0
Chris Hankin,#d3d3d3,1
Jeff Kramer,#00bfff,1
Iain Phillips,#d3d3d3,1
Steffen van Bakel,#d3d3d3,0
Antonio Filieri,#00bfff,0
Aldo Faisal,#d3d3d3,0
Jim Cunningham,#d3d3d3,0
Herbert Wiklicky,#d3d3d3,1
Nicholas Jennings,#32CD32,0
Thomas Heinis,#00bfff,1
Abbas Edalat,#ffff00,0
Aldo Faisal,#d3d3d3,0
Eno Thereska,#00bfff,0
Duncan Gillies,#d3d3d3,1
A. Faisal,#ffc0cb,0
