name,color,coauthored
Douglas Hofstadter,#d3d3d3,0
Funda Ergün,#ffff00,1
Süleyman Sahinalp,#ffc0cb,1
Qin Zhang,#ffff00,1
Dirk Van Gucht,#00bfff,1
Geoffrey Brown,#d3d3d3,1
D. Swany,#00bfff,1
Yuqing Wu,#00bfff,1
Paul Purdom,#d3d3d3,1
Apu Kapadia,#00bfff,1
David Crandall,#32CD32,1
Kay Connelly,#ffc0cb,1
L. Camp,#d3d3d3,1
Geoffrey Fox,#00bfff,1
Steven Myers,#00bfff,1
XiaoFeng Wang,#00bfff,1
Tor Lattimore,#32CD32,0
Esfandiar Haghverdi,#d3d3d3,0
Mehmet Dalkilic,#d3d3d3,1
Andrew Lumsdaine,#00bfff,1
Haixu Tang,#00bfff,1
Sriraam Natarajan,#32CD32,1
Ryan Newton,#00bfff,1
Jeremy Siek,#00bfff,1
Sam Tobin-Hochstadt,#00bfff,1
David Leake,#32CD32,1
Beth Plale,#00bfff,1
Daniel Leivant,#ffff00,0
Judy Qiu,#00bfff,1
Yuzhen Ye,#ffc0cb,1
Yan Huang,#00bfff,1
Predrag Radivojac,#ffc0cb,1
Martha White,#32CD32,1
Minaxi Gupta,#00bfff,1
Matthew Hahn,#d3d3d3,1
Chung-chieh Shan,#d3d3d3,1
Daniel Friedman,#d3d3d3,1
Amr Sabry,#00bfff,1
Grigory Yaroslavtsev,#ffff00,0
Raquel Hill,#d3d3d3,0
Randall Bramley,#00bfff,1
Michael Ryoo,#32CD32,0
Christopher Raphael,#32CD32,0
Feng Qian,#00bfff,0
Ryan Henry,#00bfff,0
Randall Beer,#d3d3d3,0
Thomas Sterling,#00bfff,0
Bobby Schnabel,#d3d3d3,0
Yuan Zhou,#ffff00,0
