name,color,coauthored
Mark Dredze,#32CD32,1
Benjamin Van Durme,#32CD32,1
Jason Eisner,#32CD32,1
David Yarowsky,#32CD32,1
Raman Arora,#32CD32,1
Michael Kazhdan,#ffc0cb,1
Russell Taylor,#ffc0cb,1
Randal Burns,#00bfff,0
Yanif Ahmad,#00bfff,1
Gregory Hager,#ffc0cb,1
Philipp Koehn,#32CD32,1
Aviel Rubin,#00bfff,1
Matthew Green,#00bfff,1
Suchi Saria,#32CD32,0
Peter Kazanzides,#ffc0cb,1
Vladimir Braverman,#ffff00,1
Michael Schatz,#d3d3d3,0
Alexis Battle,#32CD32,0
Susan Hohenberger,#00bfff,1
Randal Burns,#d3d3d3,0
Scott Smith,#d3d3d3,0
Xin 0006,#ffff00,1
Michael Dinitz,#ffff00,1
Abhishek Jain,#ffff00,0
Yair Amir,#00bfff,0
Ben Langmead,#ffc0cb,0
