name,color,coauthored
Jacob White,#00bfff,1
Bruce Tidor,#ffc0cb,1
Luca Daniel,#00bfff,1
Elfar Adalsteinsson,#d3d3d3,1
Victor Zue,#32CD32,0
Silvio Micali,#ffff00,1
Nir Shavit,#00bfff,1
Constantinos Daskalakis,#ffff00,1
Ron Weiss,#ffc0cb,0
Julie Shah,#ffc0cb,1
Seth Teller,#ffc0cb,1
Russ Tedrake,#ffc0cb,1
Andrew Lo,#d3d3d3,0
John Guttag,#32CD32,1
Jae Lim,#d3d3d3,0
Charles Leiserson,#00bfff,1
Armando Solar-Lezama,#00bfff,1
Jeffrey Lang,#d3d3d3,0
Asuman Ozdaglar,#00bfff,1
Devavrat Shah,#32CD32,1
Pablo Parrilo,#00bfff,1
John Tsitsiklis,#00bfff,1
Muriel Médard,#00bfff,1
Tamara Broderick,#32CD32,1
Stefanie Jegelka,#32CD32,1
William Freeman,#32CD32,1
Frédo Durand,#32CD32,1
Antonio Torralba,#32CD32,1
Berthold Horn,#32CD32,1
Wojciech Matusik,#ffc0cb,1
Alan Willsky,#32CD32,1
Anant Agarwal,#00bfff,1
Martin Rinard,#00bfff,1
Michael Carbin,#00bfff,1
Srinivas Devadas,#00bfff,1
Saman Amarasinghe,#00bfff,1
Tomás Lozano-Pérez,#ffc0cb,1
David Karger,#ffc0cb,1
Rob Miller,#ffc0cb,1
Samuel Madden,#00bfff,1
Regina Barzilay,#32CD32,1
Hari Balakrishnan,#00bfff,1
Daniela Rus,#ffc0cb,1
Leslie Kaelbling,#ffc0cb,1
Alexandre Megretski,#00bfff,1
Dina Katabi,#00bfff,1
Yury Polyanskiy,#d3d3d3,1
Manolis Kellis,#ffc0cb,1
Ankur Moitra,#ffff00,1
Erik Demaine,#ffff00,1
George Verghese,#d3d3d3,0
Collin Stultz,#d3d3d3,1
Piotr Indyk,#ffff00,1
M. Kaashoek,#00bfff,1
Nickolai Zeldovich,#00bfff,1
Joel Voldman,#d3d3d3,0
Gregory Wornell,#d3d3d3,1
Duane Boning,#00bfff,1
Ronald Rivest,#00bfff,1
Barbara Liskov,#00bfff,1
Robert Morris,#00bfff,1
Randall Davis,#32CD32,1
Joel Moses,#d3d3d3,0
Stephen Ward,#d3d3d3,0
Tommi Jaakkola,#32CD32,1
Harold Abelson,#d3d3d3,1
Adam Chlipala,#00bfff,1
Peter Szolovits,#32CD32,0
Arvind ,#00bfff,1
Gerald Sussman,#d3d3d3,1
Ronitt Rubinfeld,#ffff00,1
Michael Watts,#d3d3d3,0
Daniel Jackson,#00bfff,1
Aleksander Madry,#ffff00,0
Rajeev Ram,#d3d3d3,0
Shafi Goldwasser,#ffff00,1
Vinod Vaikuntanathan,#ffff00,1
Justin Solomon,#ffc0cb,0
Qing Hu,#d3d3d3,0
Albert Meyer,#d3d3d3,0
Daniel Sanchez,#00bfff,1
Bonnie Berger,#ffc0cb,1
Patrick Jaillet,#32CD32,0
Robert Berwick,#32CD32,0
Patrick Winston,#d3d3d3,0
Jing Kong,#00bfff,0
Dana Moshkovitz,#ffff00,1
John Wyatt,#d3d3d3,0
Steven Leeb,#d3d3d3,0
Hae-Seung Lee,#d3d3d3,1
David Gifford,#ffc0cb,1
Mohammad Alizadeh,#00bfff,1
Andrew Lo,#d3d3d3,0
David Perreault,#d3d3d3,0
Rahul Sarpeshkar,#00bfff,1
Dirk Englund,#d3d3d3,0
