name,color
Eva Darulova,#00bfff
Rupak Majumdar,#ffff00
Christian Theobalt,#ffc0cb
Hans-Peter Seidel,#ffc0cb
Bernt Schiele,#32CD32
Viktor Vafeiadis,#00bfff
Derek Dreyer,#00bfff
Deepak Garg,#00bfff
Stefan Schaal,#ffc0cb
Thomas Lengauer,#ffc0cb
Gerhard Weikum,#32CD32
Krishna Gummadi,#00bfff
Joël Ouaknine,#ffff00
Peter Druschel,#00bfff
Manuel Gomez-Rodriguez,#32CD32
Bernhard Schölkopf,#32CD32
Eugene Myers,#ffc0cb
Björn Brandenburg,#00bfff
Kurt Mehlhorn,#ffff00
Martin Vingron,#ffc0cb
Paul Francis,#00bfff
Christoph Weidenbach,#00bfff
Michael Black,#32CD32
