name,abbrv,color,coauthored
Michael Hallett,M. Hallett,#ffc0cb,0
Joelle Pineau,J. Pineau,#32CD32,1
Doina Precup,D. Precup,#32CD32,1
Prakash Panangaden,P. Panangaden,#32CD32,1
Hamed Hatami,H. Hatami,#ffff00,0
Paul Kry,P. Kry,#ffc0cb,1
Clark Verbrugge,C. Verbrugge,#d3d3d3,1
Kaleem Siddiqi,K. Siddiqi,#32CD32,1
Jérôme Waldispühl,J. Waldispühl,#ffc0cb,1
Mathieu Blanchette,M. Blanchette,#ffc0cb,1
Bettina Kemme,B. Kemme,#00bfff,1
Jörg Kienzle,J. Kienzle,#d3d3d3,1
Adrian Vetta,A. Vetta,#ffff00,1
Denis Thérien,D. Thérien,#ffff00,0
Laurie Hendren,L. Hendren,#00bfff,1
Gregory Dudek,G. Dudek,#ffc0cb,1
Michael Langer,M. Langer,#32CD32,1
Jackie Cheung,J. Cheung,#32CD32,1
Bruce Reed,B. Reed,#ffff00,1
Brigitte Pientka,B. Pientka,#00bfff,1
David Meger,D. Meger,#ffc0cb,1
Yang Cai,Y. Cai,#ffff00,1
Derek Ruths,D. Ruths,#32CD32,0
Claude Crépeau,C. Crépeau,#ffff00,1
Muthucumaru Maheswaran,M. Maheswaran,#d3d3d3,1
Xue Liu,X. Liu,#00bfff,1
Xiao-Wen Chang,X. Chang,#d3d3d3,1
Luc Devroye,L. Devroye,#ffff00,0
Martin Robillard,M. Robillard,#00bfff,0
