name,color,coauthored
Pang-Ning Tan,#32CD32,1
Jiayu Zhou,#32CD32,1
Li Xiao,#ffc0cb,1
Anil Jain,#32CD32,1
William Punch,#d3d3d3,1
Abdol-Hossein Esfahanian,#32CD32,1
Philip McKinley,#d3d3d3,1
Charles Ofria,#d3d3d3,1
Betty Cheng,#00bfff,1
Guoliang Xing,#00bfff,1
Matt Mutka,#ffc0cb,1
Sandeep Kulkarni,#d3d3d3,1
Eric Torng,#00bfff,1
Arun Ross,#32CD32,1
Xiaoming Liu,#32CD32,1
Yiying Tong,#ffc0cb,1
Richard Enbody,#d3d3d3,1
Alex Liu,#d3d3d3,1
Yanni Sun,#ffc0cb,1
Hu Ding,#32CD32,0
Charles Owen,#ffc0cb,0
Wolfgang Banzhaf,#d3d3d3,1
Joyce Chai,#32CD32,0
Arend Hintze,#d3d3d3,0
Kevin Liu,#ffc0cb,0
Juyang Weng,#d3d3d3,0
Hasan Aktulga,#00bfff,0
Laura Dillon,#00bfff,0
