name,color
Chengjun Liu,#32CD32
D. Hung,#d3d3d3
James Geller,#d3d3d3
Yehoshua Perl,#d3d3d3
Zhi Wei,#ffc0cb
Guiling Wang,#00bfff
Xiaoning Ding,#00bfff
Cristian Borcea,#d3d3d3
Kurt Rohloff,#d3d3d3
Narain Gehani,#d3d3d3
Reza Curtmola,#00bfff
James Calvin,#d3d3d3
Marvin Nakayama,#d3d3d3
Ali Mili,#d3d3d3
Jason Wang,#d3d3d3
Joseph Leung,#d3d3d3
Andrew Sohn,#00bfff
Chase Wu,#d3d3d3
Alexandros Gerbessiotis,#d3d3d3
Vincent Oria,#d3d3d3
Frank Shih,#d3d3d3
Dimitri Theodoratos,#32CD32
Iulian Neamtiu,#00bfff
