name,color,coauthored
Benjamin Goldberg,#ffc0cb,0
Michael Walfish,#00bfff,0
Julian Togelius,#32CD32,1
Andrew Nealen,#ffc0cb,1
John Iacono,#ffff00,1
Boris Aronov,#ffff00,1
Richard Cole,#ffff00,1
Phyllis Frankl,#d3d3d3,0
Jinyang Li,#00bfff,1
Lakshminarayanan Subramanian,#00bfff,1
Ken Perlin,#ffc0cb,0
Margaret Wright,#d3d3d3,0
Mohamed Zahran,#d3d3d3,0
Subhash Khot,#ffff00,1
Oded Regev,#ffff00,1
Damon McCoy,#00bfff,0
Brendan Dolan-Gavitt,#00bfff,0
Zvi Kedem,#d3d3d3,0
Torsten Suel,#32CD32,1
Nasir Memon,#32CD32,1
Yevgeniy Dodis,#ffff00,1
Victor Shoup,#ffff00,1
Cláudio Silva,#ffc0cb,1
Juliana Freire,#ffc0cb,1
Enrico Bertini,#ffc0cb,1
Denis Zorin,#ffc0cb,1
Richard Bonneau,#ffc0cb,1
Guido Gerig,#32CD32,1
Daniele Panozzo,#ffc0cb,1
Yi-Jen Chiang,#ffc0cb,1
Helen Nissenbaum,#00bfff,1
Thomas Wies,#ffff00,1
Clark Barrett,#ffff00,1
Mehryar Mohri,#32CD32,0
Samuel Bowman,#32CD32,0
Kyunghyun Cho,#32CD32,1
Ralph Grishman,#32CD32,1
David Sontag,#32CD32,1
Ernest Davis,#32CD32,0
Chee-Keng Yap,#ffc0cb,1
Dennis Shasha,#ffc0cb,1
Joel Spencer,#ffff00,1
Michael Overton,#d3d3d3,0
Patrick Cousot,#00bfff,0
Panayotis Mavromatis,#d3d3d3,0
Edward Wong,#32CD32,0
Davi Geiger,#32CD32,0
Keith Ross,#00bfff,1
Justin Cappos,#00bfff,1
Rumi Chunara,#d3d3d3,0
Bud Mishra,#ffc0cb,0
Christoph Bregler,#32CD32,1
Olof Widlund,#d3d3d3,0
Lisa Hellerstein,#ffff00,0
