name,color
Kemafor Ogan,#d3d3d3
Robert St. Amant,#ffc0cb
Laurie Williams,#00bfff
Christopher Healey,#ffc0cb
David Roberts,#32CD32
Tim Menzies,#00bfff
Xipeng Shen,#00bfff
Peng Ning,#00bfff
William Enck,#00bfff
Rudra Dutta,#00bfff
Douglas Reeves,#00bfff
Xuxian Jiang,#00bfff
Ting Yu,#32CD32
Vincent Freeh,#00bfff
Khaled Harfoush,#00bfff
George Rouskas,#00bfff
Injong Rhee,#00bfff
Harry Perros,#d3d3d3
Alexandros Kapravelos,#00bfff
Robert Rodman,#d3d3d3
Matthias Stallmann,#d3d3d3
Kristy Boyer,#32CD32
Mladen Vouk,#00bfff
James Lester,#32CD32
Collin Lynch,#d3d3d3
Chris Parnin,#00bfff
Emerson Murphy-Hill,#00bfff
Alessandra Scafuro,#ffff00
Jessica Staddon,#00bfff
Xiaohui Gu,#00bfff
Xiaosong Ma,#00bfff
Nagiza Samatova,#00bfff
Rada Chirkova,#00bfff
Min Chi,#d3d3d3
Munindar Singh,#32CD32
Jon Doyle,#32CD32
Sarah Heckman,#00bfff
Kathryn Stolee,#00bfff
Carla Savage,#d3d3d3
Robert Fornaro,#d3d3d3
Michael Rappa,#d3d3d3
Arnav Jhala,#32CD32
William Stewart,#d3d3d3
Guoliang Jin,#00bfff
David Thuente,#d3d3d3
David Sturgill,#d3d3d3
Muhammad Shahzad,#00bfff
Chris Martens,#d3d3d3
Donald Bitzer,#d3d3d3
Tiffany Barnes,#d3d3d3
Benjamin Watson,#ffc0cb
Steffen Heber,#d3d3d3
Frank Mueller,#00bfff
Kemafor Anyanwu-Ogan,#d3d3d3
Blair Sullivan,#d3d3d3
Edward Gehringer,#d3d3d3
Hung-Wei Tseng,#00bfff
