name,color,coauthored
Stephen Intille,#ffc0cb,1
Timothy Bickmore,#ffc0cb,1
Matthew Goodwin,#ffc0cb,1
Lu Wang,#32CD32,0
Frank Tip,#00bfff,1
Jan Vitek,#00bfff,1
Tina Eliassi-Rad,#32CD32,0
Engin Kirda,#00bfff,1
William Robertson,#00bfff,1
Guevara Noubir,#00bfff,1
Alina Oprea,#00bfff,1
Christoph Riedl,#d3d3d3,0
Cristina Nita-Rotaru,#00bfff,0
Christo Wilson,#00bfff,1
David Choffnes,#00bfff,1
Alan Mislove,#00bfff,1
David Lazer,#00bfff,1
Jonathan Ullman,#ffff00,0
Javed Aslam,#32CD32,1
Ravi Sundaram,#ffff00,1
Rajmohan Rajaraman,#ffff00,1
Agnes Chan,#d3d3d3,1
Daniel Wichs,#ffff00,1
Emanuele Viola,#ffff00,1
Peter Desnoyers,#00bfff,1
Gillian Smith,#ffc0cb,0
Mirek Riedewald,#00bfff,1
Panagiotis Manolios,#ffff00,1
Kenneth Baclawski,#d3d3d3,0
Misha Pavel,#32CD32,0
Andrea Parker,#ffc0cb,0
Ehsan Elhamifar,#32CD32,0
Yun Fu,#32CD32,0
Olin Shivers,#00bfff,1
Thomas Wahl,#ffff00,0
Carla Brodley,#32CD32,1
Byron Wallace,#32CD32,1
Cody Dunne,#ffc0cb,0
Marsette Vona,#ffc0cb,0
Rupal Patel,#d3d3d3,0
Albert-László Barabási,#32CD32,0
William Clinger,#d3d3d3,0
Viera Proulx,#d3d3d3,0
Mitchell Wand,#00bfff,1
Harriet Fell,#d3d3d3,0
Gene Cooperman,#00bfff,0
Alessandro Vespignani,#d3d3d3,0
Abhi Shelat,#ffff00,0
Magy El-Nasr,#ffc0cb,1
Stacy Marsella,#32CD32,1
Huy Nguyen,#ffff00,0
Amal Ahmed,#00bfff,0
Matthias Felleisen,#00bfff,1
Karl Lieberherr,#d3d3d3,0
Jan-Willem van de Meent,#32CD32,0
Seth Cooper,#ffc0cb,0
Robert Platt,#ffc0cb,0
David Smith,#32CD32,0
Olga Vitek,#ffc0cb,0
Michelle Borkin,#ffc0cb,0
Christopher Amato,#32CD32,0
