name,color
Fabián Bustamante,#00bfff
Peter Dinda,#00bfff
Aleksandar Kuzmanovic,#00bfff
Yan Chen,#00bfff
Randall Berry,#00bfff
Aggelos Katsaggelos,#32CD32
Brenna Argall,#ffc0cb
Oliver Cossairt,#ffc0cb
Jack Tumblin,#ffc0cb
Ming-Yang Kao,#00bfff
Gokhan Memik,#00bfff
Jason Hartline,#ffff00
Lawrence Henschen,#d3d3d3
Nikolaos Hardavellas,#00bfff
Alok Choudhary,#00bfff
Kenneth Forbus,#32CD32
Lawrence Birnbaum,#32CD32
Christopher Riesbeck,#32CD32
Michael Horn,#ffc0cb
Uri Wilensky,#d3d3d3
Brent Hecht,#ffc0cb
Doug Downey,#32CD32
Hai Zhou,#00bfff
Simone Campanoni,#00bfff
Haoqi Zhang,#ffc0cb
Peter Scheuermann,#00bfff
Goce Trajcevski,#00bfff
Michael Rubenstein,#ffc0cb
Anindya De,#ffff00
Kristian Hammond,#d3d3d3
Bryan Pardo,#d3d3d3
Robert Findler,#00bfff
Russ Joseph,#00bfff
Ian Horswill,#d3d3d3
Jennie Duggan,#00bfff
Aravindan Vijayaraghavan,#ffff00
