name,color
Christopher Stewart,#00bfff
Srinivasan Parthasarathy,#32CD32
Tamal Dey,#ffff00
Huamin Wang,#ffc0cb
Yusu Wang,#ffff00
Facundo Mémoli,#32CD32
Rephael Wenger,#ffc0cb
Anastasios Sidiropoulos,#ffff00
Eric Fosler-Lussier,#32CD32
DeLiang Wang,#32CD32
Han-Wei Shen,#ffc0cb
Nicoleta Roman,#d3d3d3
Dong Xuan,#00bfff
Ten-Hwang Lai,#00bfff
Prasun Sinha,#00bfff
Feng Qin,#00bfff
Mikhail Belkin,#32CD32
Yinqian Zhang,#00bfff
Gagan Agrawal,#00bfff
Dhabaleswar Panda,#00bfff
Michael Bond,#00bfff
Atanas Rountev,#00bfff
P. Sadayappan,#00bfff
Anish Arora,#00bfff
Kannan Srinivasan,#00bfff
Neelam Soundarajan,#00bfff
Alan Ritter,#32CD32
Wei Xu,#32CD32
Raghu Machiraju,#ffc0cb
Radu Teodorescu,#00bfff
Xiaodong Zhang,#00bfff
Paolo Sivilotti,#d3d3d3
Jim Davis,#d3d3d3
Luis Rademacher,#ffff00
Roger Crawfis,#d3d3d3
Arnab Nandi,#00bfff
Ness Shroff,#00bfff
Chunyi Peng,#00bfff
Spyros Blanas,#00bfff
Huan Sun,#32CD32
