name,color
Martin Erwig,#00bfff
Eric Walkingshaw,#d3d3d3
Margaret M. Burnett,#ffc0cb
Alex Groce,#00bfff
Alan Fern,#32CD32
Prasad Tadepalli,#32CD32
Thomas G. Dietterich,#32CD32
Weng-Keen Wong,#32CD32
Xiaoli Z. Fern,#32CD32
Liang Huang,#32CD32
Patrick Chiang,#00bfff
Huaping Liu,#ffc0cb
Arun Natarajan,#00bfff
Gabor C. Temes,#d3d3d3
Rebecca A. Hutchinson,#32CD32
Thinh Nguyen,#d3d3d3
Mario E. Magaña,#d3d3d3
Carlos Jensen,#00bfff
Sinisa Todorovic,#32CD32
Kelin Kuhn,#d3d3d3
Danny Dig,#00bfff
Bechir Hamdaoui,#d3d3d3
Arash Termehchy,#00bfff
Eduardo Cotilla Sanchez,#d3d3d3
Glencora Borradaile,#ffff00
Mike Bailey,#d3d3d3
Jinsub Kim,#d3d3d3
Raviv Raich,#32CD32
Cherri M. Pancake,#d3d3d3
Kartikeya Mayaram,#00bfff
Un-Ku Moon,#00bfff
Amir Nayyeri,#ffff00
Christopher Scaffidi,#ffc0cb
Anita Sarma,#00bfff
Matthew Johnston,#00bfff
V. John Mathews,#d3d3d3
Annette R. von Jouanne,#d3d3d3
Julia Zhang,#d3d3d3
Tejasvi Anand,#d3d3d3
Eugene Zhang,#ffc0cb
Yue Zhang 0009,#ffc0cb
Bella Bose,#d3d3d3
John P. Conley,#d3d3d3
