name,color
John Metzner,#d3d3d3
Webb Miller,#ffff00
Piotr Berman,#ffff00
Mahmut Kandemir,#00bfff
Narayanan Vijaykrishnan,#00bfff
Mary Irwin,#00bfff
Anand Sivasubramaniam,#00bfff
Chita Das,#00bfff
Sencun Zhu,#00bfff
Patrick McDaniel,#00bfff
Jack Sampson,#00bfff
Wang-Chien Lee,#32CD32
Guohong Cao,#00bfff
Bhuvan Urgaonkar,#00bfff
Raj Acharya,#d3d3d3
Thomas La Porta,#00bfff
Daniel Kifer,#00bfff
Danfeng Zhang,#00bfff
Yanxi Liu,#32CD32
Robert Collins,#32CD32
Sofya Raskhodnikova,#ffff00
Adam Smith,#ffff00
Paul Medvedev,#ffc0cb
George Kesidis,#00bfff
Jesse Barlow,#32CD32
Martin Fürer,#ffff00
Trent Jaeger,#00bfff
Gang Tan,#00bfff
Sean Hallgren,#ffff00
Lee Coraor,#d3d3d3
Kamesh Madduri,#00bfff
John Carroll,#ffc0cb
