name,color
Jordi Guitart,#00bfff
Jordi Torres,#00bfff
Eduard Ayguadé,#00bfff
Luis Velasco,#d3d3d3
Davide Careglio,#00bfff
Josep Solé-Pareta,#00bfff
Manel Zapata,#d3d3d3
Llorenç Cerdà-Alabern,#d3d3d3
José Barceló-Ordinas,#d3d3d3
Felix Freitag,#d3d3d3
Cristina Barrado,#d3d3d3
Pablo Royo,#d3d3d3
Juan Cruellas,#d3d3d3
Marc González,#00bfff
Yolanda Becerra,#d3d3d3
Jesús Labarta,#00bfff
Daniel Jiménez-González,#d3d3d3
Mateo Valero,#00bfff
Rubén Tous,#d3d3d3
Jaime Delgado,#d3d3d3
Manuel Medina,#d3d3d3
Antonio González,#00bfff
Ramon Canal,#00bfff
Joan-Manuel Parcerisa,#00bfff
Germán Santos-Boada,#d3d3d3
Eva Marín-Tordera,#00bfff
Pere Barlet-Ros,#00bfff
Albert Cabellos-Aparicio,#00bfff
Jordi Domingo-Pascual,#00bfff
José Herrero,#d3d3d3
Juan Navarro,#d3d3d3
Agustin Fernández,#d3d3d3
Roger Espasa,#ffc0cb
Silvia Llorente,#d3d3d3
Jordi Garcia,#d3d3d3
Julita Corbalán,#00bfff
José Cela,#00bfff
Beatriz Otero,#d3d3d3
René Serral-Gracià,#00bfff
Jordi Almiñana,#d3d3d3
Josep-Lluis Larriba-Pey,#00bfff
José Llabería,#00bfff
