name,color,coauthored
Ahmed Elmagarmid,#00bfff,1
Walid Aref,#00bfff,1
Jennifer Neville,#32CD32,1
Elisa Bertino,#00bfff,1
Elias Bareinboim,#32CD32,0
He Wang,#00bfff,0
Chris Clifton,#32CD32,1
Luo Si,#32CD32,1
Sunil Prabhakar,#00bfff,1
Tiark Rompf,#00bfff,0
Aditya Mathur,#32CD32,1
Bradley Lucier,#d3d3d3,0
Mohammad Sadoghi,#00bfff,0
Benjamin Delaware,#00bfff,0
Ahmed Sameh,#d3d3d3,0
Ramana Kompella,#00bfff,1
Dongyan Xu,#00bfff,1
Bruno Ribeiro,#32CD32,0
Alex Pothen,#00bfff,1
David Gleich,#32CD32,1
Wojciech Szpankowski,#ffff00,1
Ananth Grama,#ffc0cb,1
Suresh Jagannathan,#00bfff,1
Daisuke Kihara,#ffc0cb,1
Roopsha Samanta,#ffff00,0
Vernon Rego,#d3d3d3,1
Samuel Wagstaff,#d3d3d3,1
Robert Skeel,#32CD32,0
Ninghui Li,#00bfff,1
Yuan Qi,#32CD32,1
Hemanta Maji,#ffff00,1
Mikhail Atallah,#00bfff,1
Susanne Hambrusch,#d3d3d3,1
Zhiyuan Li,#00bfff,0
Daniel Aliaga,#ffc0cb,1
Voicu Popescu,#ffc0cb,1
Xavier Tricoche,#ffc0cb,1
Christoph Hoffmann,#ffc0cb,1
Mathias Payer,#00bfff,0
Eugene Spafford,#d3d3d3,1
Elena Grigorescu,#ffff00,0
Elisha Sacks,#ffc0cb,1
Bruno Ribeiro,#00bfff,0
Xiangyu Zhang,#00bfff,1
Bharat Bhargava,#d3d3d3,1
Saugata Basu,#ffff00,0
Greg Frederickson,#d3d3d3,1
Sonia Fahmy,#00bfff,1
Petros Drineas,#32CD32,0
Dan Goldwasser,#32CD32,0
Douglas Comer,#00bfff,0
Aniket Kate,#00bfff,0
Jeremiah Blocki,#32CD32,0
Jean Honorio,#32CD32,0
Kihong Park,#00bfff,0
Byoungyoung Lee,#00bfff,0
