name,color,coauthored
Gerhard Lakemeyer,#32CD32,1
Matthias Jarke,#00bfff,1
Torsten Kuhlen,#ffc0cb,1
Leif Kobbelt,#ffc0cb,1
Jürgen Giesl,#ffff00,0
Bastian Leibe,#32CD32,1
Stefan Decker,#32CD32,1
Wolfgang Prinz,#d3d3d3,1
Matthias Müller,#ffc0cb,1
Jan Bender,#d3d3d3,1
Ulrik Schroeder,#ffc0cb,1
Erika Ábrahám,#ffff00,1
Peter Rossmanith,#d3d3d3,0
Martin Grohe,#ffff00,1
Pascal Schweitzer,#ffff00,1
Erich Grädel,#ffff00,1
Stefan Kowalewski,#d3d3d3,1
Joost-Pieter Katoen,#ffff00,1
Wolfgang Thomas,#d3d3d3,1
Thomas Berlage,#d3d3d3,1
Bernhard Rumpe,#00bfff,1
Klaus Wehrle,#00bfff,1
Horst Lichter,#d3d3d3,1
Otto Spaniol,#d3d3d3,1
Manfred Nagl,#d3d3d3,1
Thomas Noll,#d3d3d3,1
Uwe Naumann,#d3d3d3,0
Jan Borchers,#ffc0cb,0
Walter Oberschelp,#d3d3d3,0
Hermann Ney,#32CD32,0
Ulrike Meyer,#d3d3d3,1
Paolo Bientinesi,#00bfff,0
