name,color,coauthored
Sergei Nirenburg,#d3d3d3,0
W. Franklin,#d3d3d3,1
Barbara Cutler,#ffc0cb,1
Jeffrey Trinkle,#ffc0cb,1
Stacy Patterson,#ffc0cb,1
Boleslaw Szymanski,#00bfff,1
Malik Magdon-Ismail,#32CD32,1
Carlos Varela,#d3d3d3,1
Mukkai Krishnamoorthy,#d3d3d3,1
Christopher Carothers,#d3d3d3,1
Selmer Bringsjord,#32CD32,1
James Hendler,#32CD32,1
Sibel Adali,#32CD32,1
Wayne Gray,#ffc0cb,0
Charles Stewart,#d3d3d3,0
Lirong Xia,#32CD32,1
Ron Eglash,#d3d3d3,0
Mohammed Zaki,#d3d3d3,0
Mark Goldberg,#d3d3d3,1
Ana Milanova,#00bfff,0
Christopher Bystroff,#ffc0cb,0
Elliot Anshelevich,#32CD32,1
Heng Ji,#32CD32,1
David Isaacson,#d3d3d3,0
Francine Berman,#00bfff,0
Martin Hardwick,#d3d3d3,0
