name,abbrv,color,coauthored
Alan Kaminsky,A. Kaminsky,#d3d3d3,1
Stanislaw Radziszowski,S. Radziszowski,#d3d3d3,1
Adrienne Decker,A. Decker,#d3d3d3,1
Christopher Egert,C. Egert,#d3d3d3,1
Stephen Jacobs,S. Jacobs,#d3d3d3,1
Carol Romanowski,C. Romanowski,#d3d3d3,1
Sumita Mishra,S. Mishra,#d3d3d3,1
Rajendra Raj,R. Raj,#d3d3d3,1
Kevin Bierre,K. Bierre,#d3d3d3,0
Bruce Hartpence,B. Hartpence,#d3d3d3,1
Daryl Johnson,D. Johnson,#d3d3d3,1
Peizhao Hu,P. Hu,#d3d3d3,1
Mohan Kumar,M. Kumar,#00bfff,1
Xumin Liu,X. Liu,#d3d3d3,1
Qi Yu,Q. Yu,#32CD32,1
Reynold Bailey,R. Bailey,#ffc0cb,1
Hans-Peter Bischof,H. Bischof,#d3d3d3,1
Ronald Vullo,R. Vullo,#d3d3d3,1
Edward Holden,E. Holden,#d3d3d3,1
Bill Stackpole,B. Stackpole,#d3d3d3,1
Yin Pan,Y. Pan,#d3d3d3,1
Bo Yuan,B. Yuan,#00bfff,1
David Schwartz,D. Schwartz,#d3d3d3,1
Michael Yacci,M. Yacci,#d3d3d3,0
Pengcheng Shi,P. Shi,#32CD32,1
Brian Tomaszewski,B. Tomaszewski,#d3d3d3,1
J. Hawker,J. Hawker,#d3d3d3,0
Jim Leone,J. Leone,#d3d3d3,1
Tae Oh,T. Oh,#d3d3d3,1
Jessica Bayliss,J. Bayliss,#d3d3d3,1
Hossein Hojjat,H. Hojjat,#00bfff,0
Ivona Bezáková,I. Bezáková,#32CD32,1
James Heliotis,J. Heliotis,#d3d3d3,1
Naveen Sharma,N. Sharma,#00bfff,0
Joe Geigel,J. Geigel,#d3d3d3,1
Jai Kang,J. Kang,#d3d3d3,0
Nirmala Shenoy,N. Shenoy,#d3d3d3,1
Daniel Ashbrook,D. Ashbrook,#ffc0cb,0
Andrew Meneely,A. Meneely,#00bfff,0
Edith Hemaspaandra,E. Hemaspaandra,#32CD32,1
Christopher Homan,C. Homan,#32CD32,0
Zack Butler,Z. Butler,#ffc0cb,0
James Vallino,J. Vallino,#d3d3d3,1
Sharon Mason,S. Mason,#d3d3d3,0
Carlos Rivero,C. Rivero,#d3d3d3,0
Vicki Hanson,V. Hanson,#ffc0cb,0
Peter Lutz,P. Lutz,#d3d3d3,0
Richard Zanibbi,R. Zanibbi,#32CD32,0
Charles Border,C. Border,#d3d3d3,0
Mehdi Mirakhorli,M. Mirakhorli,#00bfff,0
Minseok Kwon,M. Kwon,#d3d3d3,0
Matt Huenerfauth,M. Huenerfauth,#32CD32,0
Matthew Fluet,M. Fluet,#00bfff,0
Gordon Goodman,G. Goodman,#d3d3d3,0
Leon Reznik,L. Reznik,#d3d3d3,0
