name,color
Swastik Kopparty,#ffff00
Shubhangi Saraf,#ffff00
Manish Parashar,#00bfff
Eddy Zhang,#00bfff
Ulrich Kremer,#ffc0cb
Tomasz Imielinski,#d3d3d3
Mario Szegedy,#ffff00
Michael Fredman,#d3d3d3
Eric Allender,#d3d3d3
Kostas Bekris,#ffc0cb
Mubbasir Kapadia,#ffc0cb
David Cash,#ffff00
Naftaly Minsky,#d3d3d3
Vinod Ganapathy,#00bfff
Liviu Iftode,#00bfff
Santosh Nagarakatte,#00bfff
Abhishek Bhattacharjee,#00bfff
Thu Nguyen,#00bfff
Amélie Marian,#00bfff
Richard Martin,#00bfff
Abdeslam Boularias,#32CD32
Rebecca Wright,#00bfff
S. Muthukrishnan,#32CD32
Vladimir Pavlovic,#32CD32
Ahmed Elgammal,#32CD32
Dimitris Metaxas,#32CD32
Matthew Stone,#32CD32
Martin Farach-Colton,#00bfff
B. Badrinath,#d3d3d3
Jingjin Yu,#ffc0cb
Kostis Michmizos,#d3d3d3
Alexander Schliep,#ffc0cb
Casimir Kulikowski,#32CD32
Alexander Borgida,#32CD32
Pranjal Awasthi,#32CD32
Endre Szemerédi,#d3d3d3
Desheng Zhang,#00bfff
Ping Li,#32CD32
William Steiger,#d3d3d3
Gerard Richter,#d3d3d3
Bahman Kalantari,#d3d3d3
