name,color
Doug James,#ffc0cb
Pat Hanrahan,#ffc0cb
Kunle Olukotun,#00bfff
Alexander Aiken,#00bfff
William Dally,#00bfff
Philip Levis,#00bfff
Leonidas Guibas,#ffc0cb
Silvio Savarese,#32CD32
James Landay,#ffc0cb
Mark Horowitz,#00bfff
Christopher Manning,#32CD32
Sachin Katti,#00bfff
David Mazières,#00bfff
Dan Boneh,#00bfff
Keith Winstein,#00bfff
Michael Bernstein,#ffc0cb
Fei-Fei Li,#32CD32
Maneesh Agrawala,#ffc0cb
Daphne Koller,#32CD32
John Mitchell,#00bfff
Monica Lam,#00bfff
Nick McKeown,#00bfff
Peter Bailis,#00bfff
Mehran Sahami,#32CD32
Oussama Khatib,#ffc0cb
John Salisbury,#ffc0cb
Moses Charikar,#ffff00
Gregory Valiant,#ffff00
John Ousterhout,#00bfff
Subhasish Mitra,#00bfff
Mendel Rosenblum,#00bfff
Balaji Prabhakar,#00bfff
Tim Roughgarden,#ffff00
Jure Leskovec,#32CD32
Daniel Jurafsky,#32CD32
Christopher Ré,#00bfff
Hector Garcia-Molina,#00bfff
Jennifer Widom,#00bfff
Ronald Fedkiw,#ffc0cb
Michael Genesereth,#d3d3d3
Marc Levoy,#ffc0cb
David Cheriton,#00bfff
Dawson Engler,#00bfff
David Dill,#00bfff
Yoav Shoham,#32CD32
Percy Liang,#32CD32
Gill Bejerano,#d3d3d3
John Hennessy,#d3d3d3
R. Williams,#ffff00
Virginia Williams,#ffff00
Stefano Ermon,#32CD32
Anshul Kundaje,#32CD32
Serafim Batzoglou,#ffc0cb
Ron Dror,#00bfff
Matei Zaharia,#00bfff
Eric Roberts,#d3d3d3
