name,color
I. Ramakrishnan,#32CD32
C. Ramakrishnan,#00bfff
Scott Stoller,#00bfff
Scott Smolka,#ffff00
Klaus Mueller,#ffc0cb
Rong Zhao,#ffc0cb
Arie Kaufman,#ffc0cb
Nima Honarmand,#00bfff
Rezaul Chowdhury,#ffff00
Michael Bender,#ffff00
Robert Patro,#ffc0cb
Steven Skiena,#ffc0cb
Barbara Chapman,#00bfff
R. Sekar,#00bfff
Radu Sion,#00bfff
Michael Ferdman,#00bfff
Jie Gao,#00bfff
Erez Zadok,#00bfff
Xianfeng Gu,#ffc0cb
Hong Qin,#ffc0cb
Dimitris Samaras,#32CD32
Niranjan Balasubramanian,#32CD32
Aruna Balasubramanian,#00bfff
Yanhong Liu,#00bfff
Michael Kifer,#00bfff
Eugene Stark,#d3d3d3
Roy Shilkrot,#ffc0cb
Himanshu Gupta,#00bfff
Samir Das,#00bfff
Michalis Polychronakis,#00bfff
Fusheng Wang,#00bfff
Allen Tannenbaum,#32CD32
Francesco Orabona,#32CD32
Minh Nguyen,#32CD32
Omkant Pandey,#ffff00
Hansen Schwartz,#32CD32
Anita Wasilewska,#d3d3d3
Jing Chen,#ffff00
Anshul Gandhi,#00bfff
Long Lu,#00bfff
Nick Nikiforakis,#32CD32
Xiaojun Bi,#ffc0cb
