name,color,coauthored
Stefan Katzenbeisser,#00bfff,1
Ahmad-Reza Sadeghi,#00bfff,1
Mira Mezini,#00bfff,1
Marc Fischlin,#ffff00,1
Matthias Hollick,#d3d3d3,1
Johannes Buchmann,#d3d3d3,1
Max Mühlhäuser,#ffc0cb,1
Dieter Fellner,#32CD32,1
Michael Goesele,#32CD32,1
Michael Pradel,#00bfff,0
Guido Salvaneschi,#00bfff,1
Patrick Eugster,#00bfff,1
Christian Bischof,#d3d3d3,0
Michael Waidner,#00bfff,1
Gerhard Neumann,#ffc0cb,1
Jan Peters,#ffc0cb,1
Johannes Fürnkranz,#32CD32,1
Iryna Gurevych,#32CD32,1
Christian Biemann,#32CD32,1
Karsten Weihe,#d3d3d3,1
Reiner Hähnle,#00bfff,0
Melanie Volkamer,#d3d3d3,1
Oskar von Stryk,#ffc0cb,1
Stefan Roth,#32CD32,1
Andreas Koch,#d3d3d3,0
Heiko Mantel,#d3d3d3,0
Felix Wolf,#00bfff,0
Neeraj Suri,#00bfff,0
Alejandro Buchmann,#00bfff,1
