name,color
Rainer Groh,#d3d3d3
Raimund Dachselt,#ffc0cb
Stefan Gumhold,#32CD32
Heiko Vogler,#32CD32
Christof Fetzer,#00bfff
Jerónimo Castrillón,#00bfff
Wolfgang Lehner,#00bfff
Christel Baier,#ffff00
Hermann Härtig,#00bfff
Wolfgang Nagel,#00bfff
Steffen Friedrich,#d3d3d3
Carsten Rother,#32CD32
Ivo Sbalzarini,#d3d3d3
Sebastian Rudolph,#32CD32
Alexander Schill,#d3d3d3
Uwe Aßmann,#d3d3d3
Rainer Spallek,#d3d3d3
Franz Baader,#32CD32
Uwe Petersohn,#d3d3d3
Klaus Kabitzsch,#d3d3d3
Klaus Meißner,#d3d3d3
Silvia Santini,#ffc0cb
Thorsten Strufe,#00bfff
Akash Kumar,#00bfff
Horst Reichel,#d3d3d3
Steffen Hölldobler,#32CD32
Martin Wollschlaeger,#d3d3d3
