name,color,coauthored
Felix Brandt,#32CD32,0
Tobias Nipkow,#ffff00,0
Gerd Hirzinger,#ffc0cb,1
Alin Albu-Schäffer,#ffc0cb,1
Darius Burschka,#ffc0cb,1
Patrick van der Smagt,#ffc0cb,1
Alois Knoll,#ffc0cb,1
Florian Matthes,#d3d3d3,1
Martin Bichler,#d3d3d3,1
Alexander Pretschner,#00bfff,1
Nassir Navab,#32CD32,1
Jorge Curiel-Esparza,#d3d3d3,0
Jan Kretínský,#ffff00,0
Jörg Ott,#00bfff,0
August-Wilhelm Scheer,#d3d3d3,0
Michael Bader,#00bfff,1
Hans-Joachim Bungartz,#00bfff,1
Thomas Huckle,#d3d3d3,1
Arndt Bode,#00bfff,1
Burkhard Rost,#ffc0cb,0
Michael Gerndt,#d3d3d3,1
Anne Brüggemann-Klein,#d3d3d3,0
Ernst Denert,#d3d3d3,0
Helmut Seidl,#00bfff,0
Bernd Brügge,#00bfff,0
Carsten Steger,#ffc0cb,1
Bjoern Menze,#d3d3d3,0
Julien Gagneur,#d3d3d3,0
Helmut Krcmar,#d3d3d3,1
Thomas Runkler,#d3d3d3,1
Georg Carle,#00bfff,0
Susanne Albers,#ffff00,0
Thomas Neumann,#00bfff,0
Harald Räcke,#ffff00,0
Daniel Cremers,#32CD32,1
Peter Hubwieser,#d3d3d3,0
Nils Thürey,#ffc0cb,0
Uwe Baumgarten,#d3d3d3,0
Peter Struss,#32CD32,0
Matthias Althoff,#ffc0cb,0
Claudia Eckert,#32CD32,0
Hans-Arno Jacobsen,#00bfff,0
