name,color,coauthored
Nader Bshouty,#32CD32,1
Michael Kaminski,#d3d3d3,1
Eran Yahav,#00bfff,1
Benny Kimelfeld,#00bfff,1
Ran El-Yaniv,#32CD32,1
Irad Yavneh,#ffc0cb,1
Michael Elad,#32CD32,1
Alexander Bronstein,#32CD32,1
Ron Kimmel,#32CD32,1
Reuven Bar-Yehuda,#00bfff,1
Ehud Rivlin,#ffc0cb,1
Dan Geiger,#ffc0cb,1
Mark Silberstein,#00bfff,1
Assaf Schuster,#00bfff,1
Eli Biham,#ffff00,1
Yuval Ishai,#ffff00,1
Tal Mor,#d3d3d3,1
Hagit Attiya,#00bfff,1
Keren Censor-Hillel,#ffff00,1
Hadas Shachnai,#ffff00,1
Yuval Filmus,#ffff00,0
Alfred Bruckstein,#32CD32,1
Oded Shmueli,#d3d3d3,1
Craig Gotsman,#ffc0cb,1
Mirela Ben-Chen,#ffc0cb,1
Gershon Elber,#ffc0cb,1
Gill Barequet,#d3d3d3,1
Johann Makowsky,#d3d3d3,1
Michael Lindenbaum,#32CD32,1
Shaul Markovitch,#32CD32,1
Roy Schwartz,#ffff00,1
Joseph Naor,#ffff00,1
Ron Pinter,#ffc0cb,1
Eitan Yaakobi,#00bfff,1
Tuvi Etzion,#d3d3d3,1
Ron Roth,#00bfff,1
Ilan Cohen,#ffff00,1
Eldar Fischer,#ffff00,1
Johann Makowsky,#d3d3d3,1
Erez Petrank,#00bfff,1
Shmuel Zaks,#00bfff,1
Eli Ben-Sasson,#ffff00,1
Tomer Shlomi,#ffc0cb,1
Nir Ailon,#ffff00,0
Orna Grumberg,#ffff00,1
Eyal Kushilevitz,#ffff00,1
Dan Tsafrir,#00bfff,1
Idit Keidar,#00bfff,1
Joseph Gil,#d3d3d3,0
Danny Raz,#00bfff,1
Reuven Cohen,#00bfff,1
Yoav Etsion,#00bfff,1
Roy Friedman,#00bfff,0
