name,color,coauthored
Yehuda Afek,#00bfff,1
Adam Morrison,#00bfff,1
Noga Alon,#ffff00,1
Haim Kaplan,#ffff00,1
Lior Wolf,#32CD32,1
Noam Rinetzky,#ffff00,1
Amos Fiat,#ffff00,1
Yishay Mansour,#ffff00,1
Michal Feldman,#ffff00,1
Micha Sharir,#ffff00,1
Amnon Ta-Shma,#ffff00,1
Yossi Azar,#ffff00,1
Tova Milo,#00bfff,1
Ron Shamir,#ffc0cb,1
Roded Sharan,#ffc0cb,1
Rotem Oshman,#ffff00,1
Uri Zwick,#ffff00,1
Amir Shpilka,#ffff00,1
Daniel Deutch,#00bfff,1
Dan Halperin,#ffc0cb,1
Haim Wolfson,#ffc0cb,1
Alexander Rabinovich,#ffff00,1
Shmuel Sagiv,#00bfff,1
Nachum Dershowitz,#32CD32,1
Arnon Avron,#ffff00,1
Sharon Shoham,#ffff00,1
Michael Tarsi,#d3d3d3,0
Amir Globerson,#32CD32,1
Jonathan Berant,#32CD32,1
Shmuel Safra,#ffff00,1
Benny Chor,#ffc0cb,0
Hanoch Levy,#00bfff,0
Eran Halperin,#ffc0cb,1
Yossi Matias,#32CD32,0
Shiri Chechik,#ffff00,1
Nathan Intrator,#d3d3d3,1
Yehezkel Yeshurun,#ffc0cb,1
Sivan Toledo,#00bfff,1
Eran Tromer,#ffff00,1
Daniel Cohen-Or,#ffc0cb,1
Shahar Maoz,#00bfff,0
Amir Averbuch,#32CD32,1
Amiram Yehudai,#d3d3d3,1
Iftach Haitner,#ffff00,0
