name,color,coauthored
Yang Wang,#32CD32,1
Arcot Sowmya,#00bfff,1
Raymond Wong,#32CD32,1
Chun Chou,#00bfff,1
Wei 0011,#00bfff,1
Bernhard Hengst,#ffc0cb,1
Hye-Young Paik,#d3d3d3,1
John Shepherd,#32CD32,1
Fethi Rabhi,#d3d3d3,1
Boualem Benatallah,#32CD32,1
Mahbub Hassan,#d3d3d3,1
Hui Wu,#00bfff,1
Jingling Xue,#00bfff,1
Salil Kanhere,#00bfff,1
Peng Di,#d3d3d3,1
Sri Parameswaran,#00bfff,1
Kai Engelhardt,#00bfff,1
Gernot Heiser,#00bfff,1
Kevin Elphinstone,#00bfff,1
Ron van der Meyden,#32CD32,1
Lingkan Gong,#d3d3d3,1
Oliver Diessel,#d3d3d3,1
David Rajaratnam,#32CD32,1
Maurice Pagnucco,#32CD32,1
Claude Sammut,#ffc0cb,1
Michael Thielscher,#32CD32,1
Abdallah Saffidine,#32CD32,1
Lijun Chang,#00bfff,1
Wenjie Zhang,#00bfff,1
Xuemin Lin,#00bfff,1
Fethi Rabhi,#d3d3d3,1
Jing-Ling Xue,#d3d3d3,0
Seyed-Mehdi-Reza Beheshti,#00bfff,1
Moshe Barukh,#d3d3d3,1
Lina Yao,#ffc0cb,1
Aleksandar Ignjatovic,#00bfff,1
Eric Martin,#d3d3d3,0
Sanjay Jha,#00bfff,1
Wen Hu,#00bfff,1
Hailun Tan,#d3d3d3,1
Zengfeng Huang,#00bfff,1
Jianbin Qin,#00bfff,1
Gabriele Keller,#00bfff,1
Trevor McDonell,#d3d3d3,1
Edwin Bonilla,#32CD32,0
Andrew Taylor,#d3d3d3,1
Wayne Wobcke,#32CD32,1
Alfred Krzywicki,#32CD32,1
Michael Bain,#32CD32,1
Bradford Heap,#32CD32,1
Sara Khalifa,#d3d3d3,1
Eric Martin,#d3d3d3,0
Bruno Gaëta,#ffc0cb,0
Nadine Marcus,#d3d3d3,1
Jorgen Peddersen,#00bfff,1
Hui Guo,#ffc0cb,1
Haseeb Bokhari,#00bfff,1
William Wilson,#d3d3d3,1
Serge Gaspers,#32CD32,1
Toby Walsh,#32CD32,1
Bruno Gaëta,#d3d3d3,0
Alan Blair,#32CD32,0
Eisa Zarepour,#d3d3d3,1
Yulei Sui,#00bfff,1
Ding Ye,#d3d3d3,1
Yue Li,#ffc0cb,1
Alan Blair,#ffc0cb,0
Xin Cao,#00bfff,0
Michael Gratton,#32CD32,0
Richard Buckland,#d3d3d3,0
Carroll Morgan,#ffff00,0
Angela Finlayson,#d3d3d3,0
Victor Jauregui,#32CD32,0
