name,color
Chris Evans,#00bfff
Dean Barratt,#d3d3d3
David Hawkes,#32CD32
Sébastien Ourselin,#32CD32
Anthony Steed,#ffc0cb
Mel Slater,#ffc0cb
Nadia Bianchi-Berthouze,#ffc0cb
Niloy Mitra,#ffc0cb
Tim Weyrich,#ffc0cb
Simon Julier,#ffc0cb
Simon Arridge,#d3d3d3
Danail Stoyanov,#ffc0cb
Daniel Alexander,#32CD32
Lewis Griffin,#32CD32
Harry Strange,#32CD32
Tobias Ritschel,#ffc0cb
Gabriel Brostow,#32CD32
Emine Yilmaz,#32CD32
Jun Wang,#32CD32
Ingemar Cox,#32CD32
Jade Alglave,#ffff00
Mark Handley,#00bfff
Brad Karp,#00bfff
Philip Treleaven,#d3d3d3
Licia Capra,#ffc0cb
Tomaso Aste,#d3d3d3
Catherine Holloway,#d3d3d3
Peter Kirstein,#d3d3d3
Dean Mohamedally,#d3d3d3
Thore Graepel,#32CD32
John Shawe-Taylor,#32CD32
Anna Cox,#ffc0cb
Ann Blandford,#ffc0cb
Duncan Brumby,#ffc0cb
Paul Marshall,#ffc0cb
Yvonne Rogers,#ffc0cb
Jens Krinke,#00bfff
Mark Harman,#00bfff
Yue Jia,#00bfff
David Clark,#00bfff
Nicolas Gold,#00bfff
Zhaoping Li,#d3d3d3
David Barber,#32CD32
Wolfgang Emmerich,#00bfff
Massimiliano Pontil,#32CD32
Mark Herbster,#32CD32
Janaina Miranda,#d3d3d3
Anthony Finkelstein,#00bfff
Emmanuel Letier,#00bfff
Earl Barr,#00bfff
Hui 0005,#32CD32
Kevin Bryson,#ffc0cb
Sebastian Riedel,#32CD32
Anthony Hunter,#32CD32
Earl Barr,#d3d3d3
Denise Gorse,#d3d3d3
David Jones,#00bfff
Byron Cook,#ffff00
Peter O'Hearn,#00bfff
Peter Bentley,#d3d3d3
Fernando Brandão,#ffff00
Toby Cubitt,#ffff00
Simone Severini,#d3d3d3
John Dowell,#d3d3d3
Fabio Caccioli,#d3d3d3
Giacomo Livan,#d3d3d3
Ghita Mostéfaoui,#d3d3d3
Shi Zhou,#00bfff
Nicolas Courtois,#d3d3d3
M. Sasse,#ffc0cb
David Pym,#d3d3d3
George Danezis,#00bfff
Sarah Meiklejohn,#00bfff
Emiliano De Cristofaro,#00bfff
Jens Groth,#ffff00
Rob Smith,#d3d3d3
Steven Murdoch,#00bfff
Ilya Sergey,#00bfff
Lourdes Agapito,#32CD32
Srini Srinivasan,#d3d3d3
Steve Hailes,#d3d3d3
Graham Roberts,#d3d3d3
Marta Betcke,#d3d3d3
Christophe Dessimoz,#ffc0cb
Ivana Drobnjak,#d3d3d3
Gianluca Stringhini,#00bfff
Nicolai Marquardt,#ffc0cb
Donald Lawrence,#d3d3d3
Robin Hirsch,#d3d3d3
Guido Germano,#d3d3d3
Bangti Jin,#d3d3d3
James Brotherston,#00bfff
Natasa Przulj,#ffc0cb
Antoaneta Serguieva,#d3d3d3
Christopher Clack,#d3d3d3
