name,color,coauthored
Jing Gao,#32CD32,1
Kui Ren,#00bfff,1
Lu Su,#00bfff,1
Aidong Zhang,#32CD32,1
Hung Ngo,#00bfff,1
Rohini Srihari,#32CD32,1
Murat Demirbas,#32CD32,1
Chang Chen,#00bfff,1
Shi Li,#ffff00,1
Atri Rudra,#ffff00,1
Chunming Qiao,#00bfff,1
Dimitrios Koutsonikolas,#00bfff,1
Wenyao Xu,#00bfff,1
Aziz Mohaisen,#00bfff,1
Daniel Fischer,#d3d3d3,0
Varun Chandola,#32CD32,1
Shambhu Upadhyaya,#00bfff,1
Oliver Kennedy,#00bfff,1
Bharat Jayaraman,#d3d3d3,1
Venu Govindaraju,#32CD32,1
Lukasz Ziarek,#00bfff,1
Jan Chomicki,#00bfff,1
Ramalingam Sridhar,#d3d3d3,1
Satish Tripathi,#d3d3d3,1
Steven Ko,#00bfff,0
Geoffrey Challen,#00bfff,1
Kenneth Regan,#32CD32,1
Tevfik Kosar,#00bfff,1
Xin He,#00bfff,1
Marco Gaboardi,#00bfff,0
Jinhui Xu,#d3d3d3,0
Sargur Srihari,#32CD32,1
Wen Dong,#32CD32,1
Nils Napp,#ffc0cb,1
Karthik Dantu,#ffc0cb,1
Jaroslaw Zola,#00bfff,0
Russ Miller,#d3d3d3,0
Vipin Chaudhary,#d3d3d3,0
