name,color
Claudia Szabo,#00bfff
Quan Sheng,#ffc0cb
Qinfeng Shi,#32CD32
Chunhua Shen,#32CD32
Anton van den Hengel,#32CD32
David Suter,#32CD32
Damith Ranasinghe,#d3d3d3
Anthony Dick,#32CD32
Ian Reid,#ffc0cb
Mingyu Guo,#32CD32
Hong Shen,#d3d3d3
Michael Brooks,#d3d3d3
Frank Neumann,#32CD32
Markus 0007,#32CD32
Sergey Polyakovskiy,#ffff00
Bradley Alexander,#d3d3d3
Zbigniew Michalewicz,#d3d3d3
Tat-Jun Chin,#32CD32
Alfred Brown,#d3d3d3
Gustavo Carneiro,#32CD32
Amali Weerasinghe,#d3d3d3
Bradley Alexander,#ffc0cb
Muhammad Babar,#00bfff
Christoph Treude,#00bfff
Cheryl Pope,#d3d3d3
Cruz Izu,#d3d3d3
