name,color
Pierre Boulanger,#ffc0cb
Russell Greiner,#32CD32
Hong Zhang,#ffc0cb
Nilanjan Ray,#d3d3d3
Martin Jägersand,#ffc0cb
David Wishart,#32CD32
Guohui Lin,#ffc0cb
Paul Lu,#ffc0cb
Duane Szafron,#32CD32
Eleni Stroulia,#d3d3d3
Csaba Szepesvári,#32CD32
Mohammad Salavatipour,#ffff00
Zachary Friggstad,#ffff00
Randy Goebel,#32CD32
Abram Hindle,#00bfff
Denilson Barbosa,#32CD32
José Amaral,#00bfff
Mario Nascimento,#00bfff
Osmar Zaïane,#00bfff
Dale Schuurmans,#32CD32
Lorna Stewart,#d3d3d3
Anup Basu,#32CD32
Grzegorz Kondrak,#32CD32
Jonathan Schaeffer,#32CD32
Michael Bowling,#32CD32
Richard Sutton,#32CD32
Robert Holte,#32CD32
Renée Elio,#d3d3d3
Ioanis Nikolaidis,#d3d3d3
Li-Yan Yuan,#00bfff
Davood Rafiei,#00bfff
Vadim Bulitko,#32CD32
Michael Buro,#32CD32
Martin Müller,#32CD32
Ryan Hayward,#32CD32
Mike MacGregor,#d3d3d3
Jia You,#d3d3d3
Janelle Harms,#d3d3d3
Ken Wong,#d3d3d3
Ehab Elmallah,#d3d3d3
