name,color
Gregory Andrews,#00bfff
Saumya Debray,#00bfff
Beichuan Zhang,#00bfff
Chris Gniady,#00bfff
Kobus Barnard,#32CD32
Alon Efrat,#00bfff
Larry Peterson,#00bfff
John Hartman,#00bfff
David Lowenthal,#00bfff
Christian Collberg,#d3d3d3
Steven Bethard,#32CD32
Mihai Surdeanu,#32CD32
Ravi Sethi,#d3d3d3
Richard Snodgrass,#00bfff
Sudha Ram,#d3d3d3
Joshua Levine,#ffc0cb
Katherine Isaacs,#00bfff
Todd Proebsting,#d3d3d3
John Kececioglu,#ffc0cb
Stephen Kobourov,#ffc0cb
Carlos Scheidegger,#ffc0cb
Michelle Strout,#00bfff
