name,color
Theoharis Theoharis,#32CD32
Nicholas Kalouptsidis,#d3d3d3
Sergios Theodoridis,#d3d3d3
Mema Roussopoulos,#00bfff
Alex Delis,#d3d3d3
Stathes Hadjiefthymiades,#d3d3d3
Lazaros Merakos,#d3d3d3
Aphrodite Tsalgatidou,#d3d3d3
Dimitris Varoutas,#d3d3d3
Georgios Kouroupetroglou,#d3d3d3
Dimitrios Gunopulos,#00bfff
Yannis Smaragdakis,#00bfff
Yannis Ioannidis,#00bfff
Angela Arapoyanni,#d3d3d3
Panos Rondogiannis,#d3d3d3
Dimitris Gizopoulos,#00bfff
Antonis Paschalis,#00bfff
Nikolaos Missirlis,#d3d3d3
Yannis Cotronis,#d3d3d3
Filippos Tzaferis,#d3d3d3
Elias Manolakos,#ffc0cb
Nancy Alonistioti,#d3d3d3
Michael Hatzopoulos,#d3d3d3
Dimitris Syvridis,#d3d3d3
Athanassia Alonistioti,#d3d3d3
Panagiotis Stamatopoulos,#d3d3d3
Manolis Koubarakis,#32CD32
Vassilis Zissimopoulos,#d3d3d3
Ioannis Stavrakakis,#00bfff
Maria Roussou,#d3d3d3
P. Mathiopoulos,#d3d3d3
Stavros Kolliopoulos,#d3d3d3
Alexandros Eleftheriadis,#d3d3d3
Isambo Karali,#d3d3d3
