name,color,coauthored
Bakhadyr Khoussainov,#ffff00,1
Jiamou Liu,#32CD32,1
André Nies,#ffff00,1
Cristian Calude,#d3d3d3,1
Ewan Tempero,#00bfff,1
Paul Denny,#ffc0cb,1
Andrew Luxton-Reilly,#d3d3d3,1
James Warren,#d3d3d3,1
Yu-Cheng Tu,#d3d3d3,1
Clark Thomborson,#d3d3d3,1
Robert Amor,#d3d3d3,1
Burkhard Wünsche,#ffc0cb,1
Paul Ralph,#00bfff,1
Gerald Weber,#ffc0cb,1
Gillian Dobbie,#00bfff,1
Ulrich Speidel,#d3d3d3,0
Yun Koh,#d3d3d3,1
Patricia Riddle,#d3d3d3,1
Patrice Delmas,#32CD32,1
Georgy Gimel'farb,#32CD32,1
Radu Nicolescu,#d3d3d3,1
Sebastian Link,#00bfff,1
Matthew Egbert,#d3d3d3,0
Giovanni Russello,#d3d3d3,1
Muhammad Asghar,#d3d3d3,1
Gill Dobbie,#d3d3d3,1
David Welch,#ffc0cb,1
Alexei Drummond,#ffc0cb,1
Michael Dinneen,#d3d3d3,1
Bakh Khoussainov,#ffff00,1
Xinfeng Ye,#d3d3d3,1
Ian Warren,#d3d3d3,1
Jing Sun,#d3d3d3,1
Mark Gahegan,#32CD32,1
Simone Linz,#d3d3d3,0
Robert Sheehan,#d3d3d3,1
Beryl Plimmer,#ffc0cb,1
Damir Azhar,#d3d3d3,1
Nevil Brownlee,#d3d3d3,1
Aniket Mahanti,#32CD32,1
Ian Watson,#32CD32,0
Sathiamoorthy Manoharan,#d3d3d3,1
Robert Doran,#d3d3d3,0
Mark Wilson,#32CD32,0
Mike Barley,#32CD32,1
Patricia Riddle,#d3d3d3,1
