name,color,coauthored
Eamonn O'Neill,#ffc0cb,1
Simon Jones,#ffc0cb,1
Darren Cosker,#32CD32,1
Peter Johnson,#ffc0cb,1
Leon Watts,#ffc0cb,1
Stephen Payne,#ffc0cb,1
Michael Tipping,#d3d3d3,0
Yong-Liang Yang,#ffc0cb,1
Joanna Bryson,#32CD32,0
Fabio Nemetz,#d3d3d3,1
James Davenport,#d3d3d3,1
Marina De Vos,#32CD32,1
Julian Padget,#32CD32,1
Rachid Hourizi,#d3d3d3,1
Nicolai Vorobjov,#d3d3d3,0
Christof Lutteroth,#ffc0cb,0
Peter Hall,#ffc0cb,1
Neill Campbell,#32CD32,0
Guy McCusker,#ffff00,1
James Laird,#ffff00,1
John Power,#d3d3d3,1
Kwang Kim,#32CD32,0
Russell Bradford,#d3d3d3,1
Willem Heijltjes,#ffff00,0
Alessio Guglielmi,#ffff00,0
Michael Wright,#d3d3d3,0
Christian Richardt,#32CD32,0
