name,color,coauthored
Kerstin Eder,#ffc0cb,1
Elisabeth Oswald,#ffff00,1
Oliver Ray,#d3d3d3,1
Peter Flach,#32CD32,1
David May,#d3d3d3,1
Martijn Stam,#ffff00,1
Dan Page,#d3d3d3,1
Bogdan Warinschi,#00bfff,1
Julian Gough,#ffc0cb,0
Nigel Smart,#ffff00,1
Anne Roudaut,#ffc0cb,0
Simon McIntosh-Smith,#00bfff,0
Tim Kovacs,#d3d3d3,0
Theodore Tryfonas,#d3d3d3,1
Kirsten Cater,#ffc0cb,1
Mike Fraser,#ffc0cb,1
Nicolas Wu,#00bfff,0
Chris Preist,#ffc0cb,1
Majid Mirmehdi,#32CD32,1
Neill Campbell,#32CD32,1
Dima Damen,#32CD32,1
Tilo Burghardt,#d3d3d3,1
He Sun,#ffff00,0
Andrew Calway,#ffc0cb,1
Walterio Mayol-Cuevas,#ffc0cb,1
Carl Ek,#ffc0cb,1
Colin Dalton,#d3d3d3,1
Conor Houghton,#d3d3d3,0
Steve Gregory,#d3d3d3,0
Raphaël Clifford,#ffff00,0
Cian O'Donnell,#d3d3d3,0
David Bernhard,#00bfff,1
Dave Cliff,#32CD32,1
Seth Bullock,#d3d3d3,1
