name,color
Wayne Eberly,#d3d3d3
Mea Wang,#00bfff
Zongpeng Li,#00bfff
John Aycock,#ffc0cb
Carey Williamson,#32CD32
Reihaneh Safavi-Naini,#00bfff
Wesley Willett,#ffc0cb
Lora Oehlberg,#ffc0cb
Marina Gavrilova,#d3d3d3
Jon Rokne,#d3d3d3
Reda Alhajj,#32CD32
Günther Ruhe,#00bfff
Faramarz Samavati,#d3d3d3
Mario Sousa,#d3d3d3
Ken Barker,#32CD32
Philip Fong,#00bfff
Jalal Kawash,#d3d3d3
Jörg Denzinger,#00bfff
Frank Maurer,#00bfff
Ehud Sharlin,#ffc0cb
Christian Jacob,#d3d3d3
Majid Ghaderi,#00bfff
Jeffrey Boyd,#d3d3d3
Ben Stephenson,#d3d3d3
Robert Walker,#00bfff
Michael Jacobson,#d3d3d3
Michael Locasto,#00bfff
Saul Greenberg,#ffc0cb
Rob Kremer,#d3d3d3
M. Carpendale,#ffc0cb
Leonard Manzara,#d3d3d3
Przemyslaw Prusinkiewicz,#ffc0cb
Peter Høyer,#ffff00
Philipp Woelfel,#ffff00
James Tam,#d3d3d3
Renate Scheidler,#d3d3d3
Nelson Wong,#ffc0cb
Sonny Chan,#ffc0cb
Usman Alim,#ffc0cb
J. Cockett,#d3d3d3
