name,color
Yong Lee,#32CD32
Cho-Jui Hsieh,#32CD32
Bernd Hamann,#ffc0cb
Zhaojun Bai,#00bfff
Patrice Koehl,#d3d3d3
Michael Neff,#ffc0cb
Hao Chen,#00bfff
Xin Liu,#00bfff
Zhendong Su,#00bfff
Prasant Mohapatra,#00bfff
Shyhtsun Wu,#00bfff
Vladimir Filkov,#00bfff
Premkumar Devanbu,#00bfff
Ronald Olsson,#00bfff
Nina Amenta,#ffc0cb
Raissa D'Souza,#00bfff
Biswanath Mukherjee,#00bfff
Dipak Ghosal,#00bfff
Norman Matloff,#d3d3d3
Kwan-Liu Ma,#ffc0cb
Matthew Farrens,#00bfff
Karl Levitt,#00bfff
Phillip Rogaway,#ffff00
François Gygi,#00bfff
Ian Davidson,#32CD32
David Doty,#ffff00
Nelson Max,#ffc0cb
Ilias Tagkopoulos,#d3d3d3
Matt Bishop,#00bfff
Cindy Rubio-González,#00bfff
Matthew Franklin,#ffff00
Raissa D'Souza,#d3d3d3
