name,color
Sandy Irani,#ffff00
Aditi Majumder,#ffc0cb
Sharad Mehrotra,#00bfff
Nalini Venkatasubramanian,#00bfff
Ramesh Jain,#d3d3d3
Chen Li,#00bfff
Michael Carey,#00bfff
Alfred Kobsa,#ffc0cb
Nikil Dutt,#00bfff
Michael Dillencourt,#d3d3d3
David Eppstein,#ffff00
Michael Goodrich,#ffff00
Lubomir Bic,#d3d3d3
Alexandru Nicolau,#00bfff
Elaheh Bozorgzadeh,#00bfff
Guoqing Xu,#00bfff
Eric Mjolsness,#d3d3d3
Pierre Baldi,#ffc0cb
Daniel Hirschberg,#d3d3d3
Meenakshisundaram Gopi,#ffc0cb
Padhraic Smyth,#32CD32
Isaac Scherson,#d3d3d3
Shuang Zhao,#ffc0cb
Tony Givargis,#00bfff
Xiaohui Xie,#ffc0cb
Alexander Ihler,#32CD32
Ian Harris,#d3d3d3
Marco Levorato,#00bfff
Alexander Veidenbaum,#00bfff
Michael Franz,#00bfff
Gene Tsudik,#00bfff
Stanislaw Jarecki,#00bfff
Magda Zarki,#d3d3d3
Richard Lathrop,#ffc0cb
Ardalan Sani,#00bfff
Amelia Regan,#32CD32
Scott Jordan,#d3d3d3
Charless Fowlkes,#32CD32
Wayne Hayes,#32CD32
Erik Sudderth,#32CD32
Rina Dechter,#32CD32
Sameer Singh,#32CD32
